Year,SB,SB_SD,low_SB,hi_SB,Depletion,Dep_SD,low_dep,hi_dep,SSversion
1893,1384.52,73.7694,1239.931976,1529.108024,0.999981,1.15E-06,1.00E+00,1.00E+00,324
1894,1384.49,73.769,1239.90276,1529.07724,0.999961,2.10E-06,1.00E+00,1.00E+00,324
1895,1384.47,73.7683,1239.884132,1529.055868,0.999941,2.86E-06,1.00E+00,1.00E+00,324
1896,1384.46,73.7675,1239.8757,1529.0443,0.999935,2.57E-06,1.00E+00,1.00E+00,324
1897,1384.46,73.7667,1239.877268,1529.042732,0.999934,2.11E-06,1.00E+00,1.00E+00,324
1898,1384.46,73.7663,1239.878052,1529.041948,0.999935,1.73E-06,1.00E+00,1.00E+00,324
1899,1384.46,73.766,1239.87864,1529.04136,0.99994,1.41E-06,1.00E+00,1.00E+00,324
1900,1384.47,73.766,1239.88864,1529.05136,0.999944,1.24E-06,1.00E+00,1.00E+00,324
1901,1384.48,73.7661,1239.898444,1529.061556,0.999949,1.13E-06,1.00E+00,1.00E+00,324
1902,1384.48,73.7662,1239.898248,1529.061752,0.999953,1.06E-06,1.00E+00,1.00E+00,324
1903,1384.49,73.7664,1239.907856,1529.072144,0.999957,1.01E-06,1.00E+00,1.00E+00,324
1904,1384.49,73.7666,1239.907464,1529.072536,0.99996,9.65E-07,1.00E+00,1.00E+00,324
1905,1384.49,73.7668,1239.907072,1529.072928,0.999961,9.50E-07,1.00E+00,1.00E+00,324
1906,1384.49,73.7669,1239.906876,1529.073124,0.999961,9.47E-07,1.00E+00,1.00E+00,324
1907,1384.49,73.767,1239.90668,1529.07332,0.999961,9.77E-07,1.00E+00,1.00E+00,324
1908,1384.49,73.767,1239.90668,1529.07332,0.99996,1.01E-06,1.00E+00,1.00E+00,324
1909,1384.49,73.767,1239.90668,1529.07332,0.999958,1.08E-06,1.00E+00,1.00E+00,324
1910,1384.49,73.7669,1239.906876,1529.073124,0.999955,1.17E-06,1.00E+00,1.00E+00,324
1911,1384.48,73.7668,1239.897072,1529.062928,0.999953,1.25E-06,1.00E+00,1.00E+00,324
1912,1384.48,73.7667,1239.897268,1529.062732,0.99995,1.35E-06,1.00E+00,1.00E+00,324
1913,1384.47,73.7665,1239.88766,1529.05234,0.999946,1.47E-06,1.00E+00,1.00E+00,324
1914,1384.47,73.7663,1239.888052,1529.051948,0.999942,1.57E-06,1.00E+00,1.00E+00,324
1915,1384.46,73.7661,1239.878444,1529.041556,0.999938,1.69E-06,1.00E+00,1.00E+00,324
1916,1384.31,73.7623,1239.735892,1528.884108,0.999827,1.53E-05,1.00E+00,1.00E+00,324
1917,1384.13,73.7577,1239.564908,1528.695092,0.9997,2.67E-05,1.00E+00,1.00E+00,324
1918,1383.92,73.7521,1239.365884,1528.474116,0.99955,3.43E-05,9.99E-01,1.00E+00,324
1919,1383.68,73.7446,1239.140584,1528.219416,0.999372,3.89E-05,9.99E-01,9.99E-01,324
1920,1383.37,73.734,1238.85136,1527.88864,0.99915,4.36E-05,9.99E-01,9.99E-01,324
1921,1383.03,73.7207,1238.537428,1527.522572,0.998902,4.72E-05,9.99E-01,9.99E-01,324
1922,1382.75,73.7073,1238.283692,1527.216308,0.998701,4.30E-05,9.99E-01,9.99E-01,324
1923,1382.5,73.6937,1238.060348,1526.939652,0.998522,3.97E-05,9.98E-01,9.99E-01,324
1924,1382.27,73.6799,1237.857396,1526.682604,0.998354,4.00E-05,9.98E-01,9.98E-01,324
1925,1382.06,73.6667,1237.673268,1526.446732,0.998202,4.23E-05,9.98E-01,9.98E-01,324
1926,1381.88,73.6552,1237.515808,1526.244192,0.998075,4.48E-05,9.98E-01,9.98E-01,324
1927,1381.73,73.6453,1237.385212,1526.074788,0.997964,4.75E-05,9.98E-01,9.98E-01,324
1928,1381.59,73.6369,1237.261676,1525.918324,0.997865,4.99E-05,9.98E-01,9.98E-01,324
1929,1381.45,73.6295,1237.13618,1525.76382,0.997763,5.24E-05,9.98E-01,9.98E-01,324
1930,1381.25,73.6224,1236.950096,1525.549904,0.99762,5.58E-05,9.98E-01,9.98E-01,324
1931,1381.03,73.6147,1236.745188,1525.314812,0.997458,5.95E-05,9.97E-01,9.98E-01,324
1932,1380.86,73.6063,1236.591652,1525.128348,0.997339,6.20E-05,9.97E-01,9.97E-01,324
1933,1380.76,73.5985,1236.50694,1525.01306,0.997265,6.38E-05,9.97E-01,9.97E-01,324
1934,1380.7,73.5921,1236.459484,1524.940516,0.997219,6.61E-05,9.97E-01,9.97E-01,324
1935,1380.65,73.5865,1236.42046,1524.87954,0.997185,6.79E-05,9.97E-01,9.97E-01,324
1936,1380.62,73.5821,1236.399084,1524.840916,0.99716,6.92E-05,9.97E-01,9.97E-01,324
1937,1380.47,73.5781,1236.256924,1524.683076,0.997055,7.12E-05,9.97E-01,9.97E-01,324
1938,1380.16,73.5727,1235.957508,1524.362492,0.996828,7.61E-05,9.97E-01,9.97E-01,324
1939,1379.95,73.5664,1235.759856,1524.140144,0.996679,7.76E-05,9.97E-01,9.97E-01,324
1940,1379.52,73.5564,1235.349456,1523.690544,0.996371,8.63E-05,9.96E-01,9.97E-01,324
