"","Label","Type","0- Reference","5a- catch length logistic","5b- catch length logistic rec devs","7a- catch ages","7b- catch ages rec devs","8a- catch length ages","8b- catch length ages rec devs"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7492.98,3039.34,2422.9,32194.6,29551.8,33624.2,31030.6
"3",NA,"deltaAIC",0,-4453.64,-5070.08,24701.62,22058.82,26131.22,23537.62
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-76.0855,NA,NA,NA,NA,NA,NA
"6",NA,"Trawl_wdis",0,NA,NA,NA,NA,NA,NA
"7",NA,"Non.Trawl_wdis",-38.3081,NA,NA,NA,NA,NA,NA
"8",NA,"Ocean",-13.4952,NA,NA,NA,NA,NA,NA
"9",NA,"Shore",0,NA,NA,NA,NA,NA,NA
"10",NA,"MPA",-4.65984,NA,NA,NA,NA,NA,NA
"11",NA,"Acoustic_Visual",-6.90464,NA,NA,NA,NA,NA,NA
"12",NA,"Tag",-10.2305,NA,NA,NA,NA,NA,NA
"13",NA,"MRFSS",-2.48714,NA,NA,NA,NA,NA,NA
"14","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"ALL",NA,NA,NA,NA,NA,NA,NA
"16",NA,"Trawl_wdis",0,NA,NA,NA,NA,NA,NA
"17",NA,"Non.Trawl_wdis",1,NA,NA,NA,NA,NA,NA
"18",NA,"Ocean",1,NA,NA,NA,NA,NA,NA
"19",NA,"Shore",0,NA,NA,NA,NA,NA,NA
"20",NA,"MPA",1,NA,NA,NA,NA,NA,NA
"21",NA,"Acoustic_Visual",1,NA,NA,NA,NA,NA,NA
"22",NA,"Tag",1,NA,NA,NA,NA,NA,NA
"23",NA,"MRFSS",1,NA,NA,NA,NA,NA,NA
"24","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"ALL",492.509,1510.66,1128.5,0,0,1744.87,1527.64
"26",NA,"Trawl_wdis",71.6334,161.784,170.82,184.321,187.439,158.492,170.841
"27",NA,"Non.Trawl_wdis",285.563,837.405,647.781,6509.46,6584.26,990.966,837.389
"28",NA,"Ocean",91.7197,395.96,226.754,3284.11,3484.05,493.337,403.79
"29",NA,"Shore",26.6222,115.508,83.1465,735.299,1016.4,102.077,115.621
"30",NA,"MPA",16.9707,NA,NA,NA,NA,NA,NA
"31",NA,"Acoustic_Visual",0,NA,NA,NA,NA,NA,NA
"32",NA,"Tag",0,NA,NA,NA,NA,NA,NA
"33",NA,"MRFSS",0,NA,NA,NA,NA,NA,NA
"34","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"ALL",NA,NA,NA,NA,NA,NA,NA
"36",NA,"Trawl_wdis",1,1,1,0,0,1,1
"37",NA,"Non.Trawl_wdis",1,1,1,0,0,1,1
"38",NA,"Ocean",1,1,1,0,0,1,1
"39",NA,"Shore",1,1,1,0,0,1,1
"40",NA,"MPA",1,NA,NA,NA,NA,NA,NA
"41",NA,"Acoustic_Visual",0,NA,NA,NA,NA,NA,NA
