"","Label","Type","0- Reference","1- length only logistic","1b- length only logistic","2- length only dome","2b- length only dome","3a- age only_est LH","3b- age only_est LH rec devs","4a- lengths and ages","4b- lengths and ages rec devs","5a- catch length logistic","5b- catch length logistic rec devs","6a- catch length dome","6b- catch length dome rec devs","7a- catch ages","7b- catch ages rec devs","8a- catch length ages","8b- catch length ages rec devs"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7492.98,2986.8,2458.64,3105.14,2565.18,35130.2,31337.2,33829.6,31114.2,3039.34,2422.9,3064.6,2513.04,32194.6,29551.8,33624.2,31030.6
"3",NA,"deltaAIC",0,-4506.18,-5034.34,-4387.84,-4927.8,27637.22,23844.22,26336.62,23621.22,-4453.64,-5070.08,-4428.38,-4979.94,24701.62,22058.82,26131.22,23537.62
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-76.0855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,"Trawl_wdis",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,"Non.Trawl_wdis",-38.3081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,"Ocean",-13.4952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,"Shore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,"Fishery3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,"Fishery4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,"MPA",-4.65984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"Acoustic_Visual",-6.90464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Tag",-10.2305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"MRFSS",-2.48714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,"Trawl_wdis",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,"Non.Trawl_wdis",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,"Ocean",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,"Shore",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,"Fishery1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"Fishery2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,"Fishery3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,"Fishery4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"MPA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"Acoustic_Visual",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,"Tag",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,"MRFSS",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,"ALL",492.509,1484.39,1142.05,1543.56,1180.05,0,0,1789.4,1558.97,1510.66,1128.5,1523.28,1157.66,0,0,1744.87,1527.64
"34",NA,"Trawl_wdis",71.6334,NA,NA,NA,NA,427.523,262.5,159.493,172.292,161.784,170.82,160.765,174.165,184.321,187.439,158.492,170.841
"35",NA,"Non.Trawl_wdis",285.563,NA,NA,NA,NA,6840.71,6867.06,1008.4,843.641,837.405,647.781,780.742,646.293,6509.46,6584.26,990.966,837.389
"36",NA,"Ocean",91.7197,NA,NA,NA,NA,6261.39,6931.13,508.185,415.651,395.96,226.754,450.81,246.14,3284.11,3484.05,493.337,403.79
"37",NA,"Shore",26.6222,NA,NA,NA,NA,2308.55,2305.69,113.327,127.381,115.508,83.1465,130.968,91.0581,735.299,1016.4,102.077,115.621
"38",NA,"Fishery1",NA,165.939,172.568,164.547,173.193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,"Fishery2",NA,817.67,646.92,789.979,649.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,"Fishery3",NA,376.64,233.197,449.485,253.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,"Fishery4",NA,124.139,89.369,139.544,104.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,"MPA",16.9707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,"Acoustic_Visual",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,"Tag",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"MRFSS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,"Trawl_wdis",1,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,0,1,1
"49",NA,"Non.Trawl_wdis",1,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,0,1,1
"50",NA,"Ocean",1,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,0,1,1
"51",NA,"Shore",1,NA,NA,NA,NA,0,0,1,1,1,1,1,1,0,0,1,1
"52",NA,"Fishery1",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,"Fishery2",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,"Fishery3",NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
