"","Base Model","Retro -1","Retro -2","Retro -3","Retro -4","Retro -5"
"totlikelihood",3745.67,3541.6,3386.83,3186.76,3049,2899.7
"surveylike",-78.8745,-75.278,-77.1799,-74.707,-72.3232,-73.5717
"discardlike",NA,NA,NA,NA,NA,NA
"lengthlike",0,0,0,0,0,0
"agelike",3803.21,3598.74,3449.05,3249.46,3113.17,2968.08
"recrlike",-5.10827,-6.22697,-5.64984,-5.84656,-7.53359,-7.60993
"forerecrlike",0,0,0,0,0,0
"priorlike",26.4453,24.3714,20.617,17.8532,15.6803,12.8046
"parmlike",0,0,0,0,0,0
"R0",8.10434,8.05967,7.99397,7.92526,7.93383,7.94193
"SB0",1445.09,1382.09,1285.06,1191.56,1197.31,1193.28
"SBfinal",617.269,489.583,366.195,201.732,194.424,211.351
"deplfinal",0.42715,0.354235,0.284963,0.1693,0.162384,0.177118
"yieldspr",406.666,390.73,366.559,342.884,346.336,348.585
"steep",0.72,0.72,0.72,0.72,0.72,0.72
"mfem",0.19,0.19,0.19,0.19,0.19,0.19
"lminfem",0,0,0,0,0,0
"lmaxfem",51.0018,50.9145,50.7464,50.6126,50.5,50.3382
"kfem",0.181595,0.182744,0.184262,0.185375,0.186534,0.187603
"cv1fem",0.1,0.1,0.1,0.1,0.1,0.1
"cv2fem",0.1,0.1,0.1,0.1,0.1,0.1
"mmale",0.17,0.17,0.17,0.17,0.17,0.17
"lminmale",0,0,0,0,0,0
"lmaxmale",46.0356,46.0237,45.8214,45.7818,45.5598,45.3893
"kmale",0.215239,0.216196,0.218976,0.219805,0.222797,0.224834
"cv1male",0.1,0.1,0.1,0.1,0.1,0.1
"cv2male",0.1,0.1,0.1,0.1,0.1,0.1
