"","Label","Type","0. Reference Model","01- AV q = 1, low CV","02- Est AV q, low CV","03- AV q = 1, CV0.45","04- Est AV q, CV0.45","05- Tag q 2015","06- Tag q 2015 xvar","07- No AV","08- No tag","09- No non-trawl","10- No ORBS","11- No MRFSS","12- No MPA","13- Add SMURF","14- No data wts","15- Dirichlet wts","16- McAIll wts","17- 2015 catches"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7492.98,7600.84,7443.32,7460.1,7455.54,7664.24,7465.5,7455.14,7511.32,7562.76,7517,7495.46,7460.3,7506.64,29227,65785.6,4626.8,7515.34
"3",NA,"deltaAIC",0,107.860000000001,-49.6599999999999,-32.8799999999992,-37.4399999999996,171.26,-27.4799999999996,-37.8399999999992,18.3400000000001,69.7800000000007,24.0200000000004,2.48000000000047,-32.6799999999994,13.6600000000008,21734.02,58292.62,-2866.18,22.3600000000006
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-76.0855,-64.2026,-81.195,-72.1337,-75.0858,-27.9471,-70.415,-74.2873,-65.3834,-32.6413,-60.0727,-72.1859,-71.3404,-70.3063,-83.9363,-83.9361,-82.5096,-77.7694
"6",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,"Non.Trawl_wdis",-38.3081,-31.6755,-35.9968,-37.1121,-35.9968,-29.7864,-36.9218,-35.9968,-38.1047,0,-36.6664,-37.543,-38.2319,-38.3348,-37.9023,-37.8,-39.9294,-38.7721
"8",NA,"Ocean",-13.4952,-9.66618,-18.9292,-18.3415,-18.9292,-23.108,-18.2304,-18.9292,-13.2987,-10.833,0,-13.0176,-13.4748,-13.5066,-17.1645,-17.2351,-15.4939,-14.0001
"9",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,"Acoustic_Visual",-6.90464,-6.90331,-6.90776,2.37571,-0.798508,-6.90776,-6.90776,NA,-6.90477,-6.90609,-6.90523,-6.90458,-6.90487,-6.90462,-6.9067,-6.90676,-6.90485,-6.90464
"11",NA,"Tag",-10.2305,-9.28495,-11.1513,-11.077,-11.1513,44.418,-0.227965,-11.1513,NA,-9.86327,-10.0291,-10.1549,-10.2496,-10.2317,-10.7234,-10.7372,-10.7759,-10.419
"12",NA,"MRFSS",-2.48714,-2.7748,-2.24193,-2.16448,-2.24193,-6.63721,-2.26942,-2.24193,-2.41118,-1.08988,-1.98927,NA,-2.47921,-2.47147,-5.90888,-5.91575,-4.48862,-2.98142
