"","Label","Type","00- Reference model","01- 2015 M values","02- Lorenzen_M","03- Est M","04- Fix gr parms, est M","05- Fix gr parms","06- Est Lmin","07- Est growth CVs","08- Bio maturity","09- Fxn Mat Logistic","10- Fec=Wt","11- No rec devs","12- Est all rec devs","13- Sel all logistic"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",5800.18,6946.22,6938.28,6834,6851.64,6898.3,7581.76,6965.24,6955.04,6956.96,6956.18,7307.56,7092.3,6944.22
"3",NA,"deltaAIC",0,1146.04,1138.1,1033.82,1051.46,1098.12,1781.58,1165.06,1154.86,1156.78,1156,1507.38,1292.12,1144.04
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-79.4309,-80.4467,-79.8848,-78.399,-80.6788,-79.2575,-78.4144,-80.1292,-80.3592,-80.1541,-80.246,-76.858,-93.3953,-79.6165
"6",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,"Non.Trawl_wdis",-37.4592,-37.2533,-37.3632,-33.4911,-37.2067,-37.822,-37.9732,-37.3986,-37.5761,-37.423,-37.4857,-25.5154,-39.0896,-38.1178
"8",NA,"Ocean",-19.017,-18.973,-18.84,-21.5046,-18.9321,-18.546,-18.709,-18.8516,-18.7137,-18.8329,-18.7835,-25.7708,-17.0435,-18.6109
"9",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,"MPA",-5.21808,-5.1286,-5.20776,-5.67239,-5.15701,-5.13647,-5.21565,-5.15494,-5.14721,-5.15396,-5.15106,-7.20444,-4.91395,-5.12222
"11",NA,"Acoustic_Visual",1.07317,0.61187,0.882774,1.43145,0.578556,1.01507,1.48505,0.735287,0.744898,0.736958,0.738041,1.88881,0.108891,1.57019
"12",NA,"Tag",-13.6683,-13.8842,-14.0445,-13.9551,-14.0026,-13.8923,-13.7825,-13.9065,-13.8741,-13.9022,-13.8898,-11.5913,-13.5003,-14.1994
"13",NA,"MRFSS",-5.1415,-5.81953,-5.31212,-5.20728,-5.95888,-4.8758,-4.2191,-5.55279,-5.79297,-5.5789,-5.67397,-8.66482,-18.9568,-5.13637
"14","Survey_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",NA,"MPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",NA,"Acoustic_Visual",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",NA,"Tag",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",NA,"MRFSS",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","Lt_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"ALL",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",NA,"Trawl_wdis",75.0017,74.3997,73.2432,82.1159,73.5934,73.4889,73.3791,73.9799,73.8446,73.9624,73.9158,75.1992,72.4226,537.709
