"","Label","Type","00- Reference model","01- 2015 M values","02- Lorenzen_M","03- Est M","04- Fix gr parms, est M","05- Fix gr parms","06- Est Lmin","07- Est growth CVs","08- Bio maturity","09- Fxn Mat Logistic","10- Fec=Wt","11- No rec devs","12- Est all rec devs","13- Sel all logistic"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",5800.18,5790.02,5783.46,5697.68,5700.42,5742.94,7581.76,5808.18,5797.56,5799.86,5798.96,6064.12,5932.36,5792.24
"3",NA,"deltaAIC",0,-10.1599999999999,-16.7200000000003,-102.5,-99.7600000000002,-57.2400000000007,1781.58,8,-2.61999999999989,-0.320000000000618,-1.22000000000025,263.94,132.179999999999,-7.94000000000051
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-79.4309,-79.801,-79.1676,-77.7783,-79.775,-78.9289,-78.4144,-79.431,-79.6876,-79.459,-79.5562,-76.114,-94.0592,-79.1169
"6",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,"Non.Trawl_wdis",-37.4592,-37.2999,-37.46,-34.2024,-37.2058,-37.7055,-37.9732,-37.4603,-37.6443,-37.485,-37.5479,-25.0594,-39.113,-38.2297
"8",NA,"Ocean",-19.017,-19.1597,-18.9516,-21.1368,-19.1409,-18.8666,-18.709,-19.0161,-18.8734,-18.9973,-18.9474,-25.9786,-17.321,-18.6925
"9",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,"MPA",-5.21808,-5.19388,-5.26258,-5.64429,-5.2427,-5.2052,-5.21565,-5.21795,-5.21113,-5.21725,-5.21471,-7.3025,-4.99872,-5.19368
"11",NA,"Acoustic_Visual",1.07317,0.943809,1.19253,1.55677,0.967275,1.25569,1.48505,1.07283,1.0926,1.07653,1.08014,2.22508,0.476841,1.85107
"12",NA,"Tag",-13.6683,-13.6461,-13.8053,-13.6041,-13.7116,-13.6794,-13.7825,-13.668,-13.637,-13.6641,-13.6522,-11.6021,-13.3032,-13.9365
"13",NA,"MRFSS",-5.1415,-5.44518,-4.88066,-4.74753,-5.44126,-4.72782,-4.2191,-5.14147,-5.41436,-5.17193,-5.27413,-8.39647,-19.8001,-4.91559
"14","Survey_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",NA,"MPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",NA,"Acoustic_Visual",1,1,1,1,1,1,1,1,1,1,1,1,1,1
