file,caption,alt_text,category,png_time,StartTime,label,altcaption,loc
bio1_sizeatage.png,Length at age in the beginning of the year (or season) in the ending year of the model. Shaded area indicates 95% distribution of length at age around estimated growth curve.,NA,Bio,12:06.6,StartTime: Wed Aug 16 15:52:17 2023,bio1_sizeatage,NA,C:/Users/Jason.Cope/Documents/Github/Sebastes_melanops_OR/Document/models/Reference model/plots
bio2_sizeatage_plus_CV_and_SD.png,Length at age (top-left panel) with CV (thick line) and SD (thin line) of length at age shown in top-right and lower-left panels,NA,Bio,12:06.6,StartTime: Wed Aug 16 15:52:17 2023,bio2_sizeatage_plus_CV_and_SD,NA,C:/Users/Jason.Cope/Documents/Github/Sebastes_melanops_OR/Document/models/Reference model/plots
bio3_sizeatage_plus_WT_and_MAT.png,Length at age (top-left panel) with weight (thick line) and maturity (thin line) shown in top-right and lower-left panels,NA,Bio,12:06.6,StartTime: Wed Aug 16 15:52:17 2023,bio3_sizeatage_plus_WT_and_MAT,NA,C:/Users/Jason.Cope/Documents/Github/Sebastes_melanops_OR/Document/models/Reference model/plots
bio1B_len_at_age_matrix_1.png,Distribution of length at age for seas: 1 sub-seas: 1 morph: 1,NA,Bio,12:06.6,StartTime: Wed Aug 16 15:52:17 2023,bio1B_len_at_age_matrix_1,NA,C:/Users/Jason.Cope/Documents/Github/Sebastes_melanops_OR/Document/models/Reference model/plots
bio1B_len_at_age_matrix_2.png,Distribution of length at age for seas: 1 sub-seas: 1 morph: 2,NA,Bio,12:06.6,StartTime: Wed Aug 16 15:52:17 2023,bio1B_len_at_age_matrix_2,NA,C:/Users/Jason.Cope/Documents/Github/Sebastes_melanops_OR/Document/models/Reference model/plots
bio1B_len_at_age_matrix_3.png,Distribution of length at age for seas: 1 sub-seas: 2 morph: 1,NA,Bio,12:06.6,StartTime: Wed Aug 16 15:52:17 2023,bio1B_len_at_age_matrix_3,NA,C:/Users/Jason.Cope/Documents/Github/Sebastes_melanops_OR/Document/models/Reference model/plots
bio1B_len_at_age_matrix_4.png,Distribution of length at age for seas: 1 sub-seas: 2 morph: 2,NA,Bio,12:06.6,StartTime: Wed Aug 16 15:52:17 2023,bio1B_len_at_age_matrix_4,NA,C:/Users/Jason.Cope/Documents/Github/Sebastes_melanops_OR/Document/models/Reference model/plots
bio5_weightatsize.png,Weight-length relationship,NA,Bio,12:06.6,StartTime: Wed Aug 16 15:52:17 2023,bio5_weightatsize,NA,C:/Users/Jason.Cope/Documents/Github/Sebastes_melanops_OR/Document/models/Reference model/plots
bio6_maturity.png,Maturity at length,NA,Bio,12:06.6,StartTime: Wed Aug 16 15:52:17 2023,bio6_maturity,NA,C:/Users/Jason.Cope/Documents/Github/Sebastes_melanops_OR/Document/models/Reference model/plots
bio8_fecundity_wt.png,Fecundity as a function of weight,NA,Bio,12:06.6,StartTime: Wed Aug 16 15:52:17 2023,bio8_fecundity_wt,NA,C:/Users/Jason.Cope/Documents/Github/Sebastes_melanops_OR/Document/models/Reference model/plots
