"Year","Trawl_wdis (mt)","Non-Trawl_wdis (mt)","Ocean (mt)","Shore (mt)","Total Catch (mt)"
1892,0,0.252,0,0.25,0.502
1893,0,0.252,0,0.25,0.502
1894,0,0.252,0,0.25,0.502
1895,0,0.06,0,0.06,0.12
1896,0,0.02,0,0.02,0.04
1897,0,0.02,0,0.02,0.04
1898,0,0.01,0,0.01,0.02
1899,0,0.02,0,0.02,0.04
1900,0,0.02,0,0.02,0.04
1901,0,0.03,0,0.03,0.06
1902,0,0.03,0,0.03,0.06
1903,0,0.04,0,0.04,0.08
1904,0,0.05,0,0.05,0.1
1905,0,0.05,0,0.05,0.1
1906,0,0.06,0,0.06,0.12
1907,0,0.06,0,0.06,0.12
1908,0,0.071,0,0.07,0.141
1909,0,0.081,0,0.08,0.161
1910,0,0.081,0,0.08,0.161
1911,0,0.091,0,0.09,0.181
1912,0,0.101,0,0.1,0.201
1913,0,0.101,0,0.1,0.201
1914,0,0.111,0,0.11,0.221
1915,0,0.111,0,0.11,0.221
1916,0,0.121,0,0.12,0.241
1917,0,0.131,0,0.13,0.261
1918,0,0.131,0,0.13,0.261
1919,0,0.141,0,0.14,0.281
1920,0,0.151,0,0.15,0.301
1921,0,0.151,0,0.15,0.301
1922,0,0.161,0,0.16,0.321
1923,0,0.161,0,0.16,0.321
1924,0,0.171,0,0.17,0.341
1925,0,0.181,0,0.18,0.361
1926,0,0.181,0,0.18,0.361
1927,0,0.192,0,0.19,0.382
1928,0,0.333,0,0.33,0.663
1929,0,0.887,0,0.88,1.767
1930,0,1.129,0,1.12,2.249
1931,0,0.675,0,0.67,1.345
1932,0.281,0.141,0,0.14,0.562
1933,0.166,0.262,0,0.26,0.688
1934,0.01,0.323,0,0.32,0.653
1935,0.135,0.212,0,0.21,0.557
1936,0.499,0.847,0,0.84,2.186
1937,0.967,1.744,0,1.73,4.441
1938,0,1.784,0,1.77,3.554
1939,1.373,1.966,0,1.95,5.289
1940,1.321,2.611,0,2.59,6.522
1941,3.432,2.137,0,2.12,7.689
1942,5.283,2.943,0,2.92,11.146
1943,32.625,3.901,0,3.87,40.396
1944,75.306,4.173,0,4.14,83.619
1945,125.299,4.627,0,4.59,134.516
1946,88.265,4.254,0,4.22,96.739
1947,29.37,1.623,0,1.61,32.603
1948,17.742,2.752,0,2.73,23.224
1949,5.918,1.653,0,1.64,9.211
1950,56.441,1.935,0,1.92,60.296
1951,15.018,1.179,0,1.17,17.367
1952,5.658,1.693,0,1.68,9.031
1953,19.219,0.887,0,0.88,20.986
1954,24.918,0.827,0,0.82,26.565
1955,33.374,1.572,0,1.56,36.506
1956,23.046,0.897,0,0.89,24.833
1957,22.485,1.532,0,1.52,25.537
1958,33.53,0.645,0,0.64,34.815
1959,41.184,1.018,0,1.01,43.212
1960,73.434,1.552,0,1.54,76.526
1961,60.247,1.814,0,1.8,63.861
1962,58.022,1.441,0,1.43,60.893
1963,45.427,1.522,0,1.51,48.459
1964,28.08,0.685,0,0.68,29.445
1965,48.287,2.943,0,2.92,54.15
1966,43.472,2.056,0,2.04,47.568
1967,26.458,4.395,0,4.36,35.213
1968,23.67,4.143,0,4.11,31.923
1969,49.514,8.266,0,8.2,65.98
1970,29.713,3.891,0,3.86,37.464
1971,32.323,8.185,0,8.12,48.628
1972,43.243,10.614,0,10.53,64.387
1973,38.428,11.32,49.588,11.23,110.566
1974,24.17,13.941,98.344,13.83,150.285
1975,26.52,7.489,147.1,7.43,188.539
1976,5.366,9.616,195.856,9.54,220.378
1977,7.176,11.652,244.612,11.56,275
1978,10.109,16.35,293.368,16.22,336.047
1979,27.872,39.967,341.29,39.65,448.779
1980,14.248,25.15,237.96,28.0906,305.4486
1981,21.767,22.257,419.97,12.5666,476.5606
1982,39.27,45.441,556.8,9.84773,651.35873
1983,2.985,95.316,386.14,14.5876,499.0286
1984,16.536,63.958,444.91,7.97194,533.37594
1985,14.144,61.034,258.11,8.67794,341.96594
1986,7.571,45.622,242.37,13.1457,308.7087
1987,0.51,116.434,214.23,26.6213,357.7953
1988,2.028,90.035,239.73,62.4763,394.2693
1989,1.602,121.948,322.84,11.3669,457.7569
1990,0.395,171.42,316.2,13.8383,501.8533
1991,0.042,179.626,145.93,16.4107,342.0087
1992,10.442,343.274,267.26,19.0842,640.0602
1993,4.919,118.904,397.5,21.8587,543.1817
1994,39.551,149.789,279.91,16.3043,485.5543
1995,2.08,94.782,336.26,12.3622,445.4842
1996,0.042,144.759,362.78,11.7278,519.3088
1997,1.893,172.993,362.21,13.2814,550.3774
1998,11.138,132.209,318.08,5.66637,467.09337
1999,0.322,125.698,155.04,6.54345,287.60345
2000,0.645,107.14,212.69,15.7542,336.2292
2001,0.177,147.853,290.72,18.6714,457.4214
2002,1.227,126.323,284.613,27.3425,439.5055
2003,0.364,116.616,321.178,19.5323,457.6903
2004,1.466,117.432,324.273,7.00323,450.17423
2005,0.52,100.286,303.875,6.80539,411.48639
2006,2.288,93.673,259.107,13.282,368.35
2007,0.322,101.848,247.427,13.282,362.879
2008,0.187,99.187,227.668,13.282,340.324
2009,0.218,134.477,277.615,13.282,425.592
2010,0.343,101.123,292.142,13.282,406.89
2011,0.759,97.544,198.716,13.282,310.301
2012,0.759,96.718,210.136,13.282,320.895
2013,0.083,107.473,321.306,13.282,442.144
2014,0.707,122.916,342.548,13.282,479.453
2015,0.51,122.119,458.606,13.282,594.517
2016,0.645,105.951,404.653,13.282,524.531
2017,0.26,125.214,402.673,13.282,541.429
2018,0.031,122.976,278.779,13.282,415.068
2019,0.01,119.186,305.073,13.282,437.551
2020,0.042,101.788,320.453,13.282,435.565
2021,0,101.526,320.73,13.282,435.538
2022,0.002,118.107,394.612,13.282,526.003
