"Year","Total Biomass (mt)","Spawning Output (millions of eggs)","Total Biomass 0+ (mt)","Fraction Unfished","Age-0 Recruits (1,000s)","Total Mortality (mt)","1-SPR","Exploitation Rate"
1892,10703.1,1490.34,10703.1,1,3411.52,0.502,0.000553717,4.69022993338379e-05
1893,10702.7,1490.27,10702.7,0.99995303085202,3411.51,0.502,0.000553743,4.6904052248498e-05
1894,10702.2,1490.19,10702.2,0.999899351825758,3411.49,0.502,0.000553768,4.69062435760872e-05
1895,10701.8,1490.12,10701.8,0.999852382677778,3411.47,0.12,0.000132451,1.12130669606982e-05
1896,10701.8,1490.1,10701.8,0.999838962921213,3411.47,0.04,4.41528e-05,3.7376889868994e-06
1897,10701.9,1490.11,10701.9,0.999845672799495,3411.47,0.04,4.41524e-05,3.73765406142834e-06
1898,10702,1490.11,10702,0.999845672799495,3411.47,0.02,2.20763e-05,1.86880956830499e-06
1899,10702.1,1490.13,10702.1,0.999859092556061,3411.48,0.04,4.41514e-05,3.73758421244429e-06
1900,10702.2,1490.14,10702.2,0.999865802434344,3411.48,0.04,4.4151e-05,3.73754928893125e-06
1901,10702.3,1490.15,10702.3,0.999872512312627,3411.48,0.06,6.62251e-05,5.60627154910627e-06
1902,10702.3,1490.16,10702.3,0.99987922219091,3411.48,0.06,6.62247e-05,5.60627154910627e-06
1903,10702.3,1490.17,10702.3,0.999885932069192,3411.49,0.08,8.82981e-05,7.47502873214169e-06
1904,10702.4,1490.18,10702.4,0.999892641947475,3411.49,0.1,0.000110371,9.34369860965765e-06
1905,10702.4,1490.18,10702.4,0.999892641947475,3411.49,0.1,0.000110371,9.34369860965765e-06
1906,10702.4,1490.18,10702.4,0.999892641947475,3411.49,0.12,0.000132444,1.12124383315892e-05
1907,10702.3,1490.18,10702.3,0.999892641947475,3411.49,0.12,0.000132444,1.12125430982125e-05
1908,10702.3,1490.17,10702.3,0.999885932069192,3411.49,0.141,0.000155542,1.31747381403997e-05
1909,10702.3,1490.17,10702.3,0.999885932069192,3411.48,0.161,0.000177614,1.50434953234352e-05
1910,10702.2,1490.16,10702.2,0.99987922219091,3411.48,0.161,0.000177615,1.50436358879483e-05
1911,10702.2,1490.15,10702.2,0.999872512312627,3411.48,0.181,0.000199687,1.69124105324139e-05
1912,10702.1,1490.14,10702.1,0.999865802434344,3411.48,0.201,0.000221759,1.87813606675325e-05
1913,10702,1490.12,10702,0.999852382677778,3411.47,0.201,0.00022176,1.87815361614651e-05
1914,10701.9,1490.11,10701.9,0.999845672799495,3411.47,0.221,0.000243832,2.06505386893916e-05
1915,10701.9,1490.09,10701.9,0.99983225304293,3411.47,0.221,0.000243834,2.06505386893916e-05
1916,10701.8,1490.08,10701.8,0.999825543164647,3411.46,0.241,0.000265906,2.25195761460689e-05
