"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,5.11623,20.2478,95.453,199.82,300.113,376.969,424.018,442.934,439.122,418.953,388.31,351.979,313.538,275.471,239.373,206.167,176.294,149.868,126.794,106.852,89.7544,75.1921,62.8538,52.4443,43.6928,36.3562,30.22,25.0979,20.829,17.2759,14.3218,11.8679,9.83111,8.14155,6.74075,5.57985,4.61813,3.82164,3.16215,2.61622,12.5311
1893,5.11621,20.248,95.453,199.817,300.107,376.96,424.005,442.916,439.101,418.931,388.289,351.96,313.522,275.457,239.362,206.158,176.286,149.862,126.789,106.847,89.7508,75.1891,62.8513,52.4423,43.6911,36.3548,30.2189,25.0969,20.8282,17.2752,14.3212,11.8675,9.83074,8.14124,6.74049,5.57964,4.61795,3.82149,3.16203,2.61612,12.5306
1894,5.11619,20.2479,95.4536,199.817,300.103,376.952,423.995,442.903,439.083,418.911,388.268,351.941,313.505,275.443,239.35,206.148,176.278,149.855,126.783,106.843,89.7471,75.186,62.8487,52.4402,43.6894,36.3533,30.2177,25.0959,20.8274,17.2745,14.3207,11.867,9.83036,8.14093,6.74023,5.57943,4.61778,3.82135,3.16191,2.61602,12.5301
1895,5.11617,20.2478,95.4531,199.819,300.103,376.947,423.985,442.892,439.07,418.894,388.249,351.922,313.488,275.428,239.337,206.138,176.27,149.848,126.778,106.838,89.7433,75.1829,62.8462,52.4381,43.6877,36.3519,30.2165,25.095,20.8266,17.2739,14.3201,11.8665,9.82999,8.14062,6.73998,5.57922,4.6176,3.8212,3.16179,2.61593,12.5296
1896,5.11616,20.2477,95.4527,199.82,300.11,376.954,423.99,442.896,439.075,418.899,388.25,351.919,313.484,275.424,239.333,206.134,176.267,149.846,126.776,106.837,89.7422,75.182,62.8455,52.4375,43.6872,36.3515,30.2162,25.0947,20.8264,17.2737,14.32,11.8664,9.8299,8.14054,6.73992,5.57917,4.61756,3.82117,3.16176,2.6159,12.5295
1897,5.11616,20.2477,95.4523,199.819,300.112,376.964,424,442.904,439.083,418.907,388.257,351.923,313.484,275.422,239.331,206.132,176.265,149.845,126.775,106.836,89.7416,75.1816,62.8451,52.4373,43.687,36.3514,30.2161,25.0946,20.8263,17.2737,14.3199,11.8664,9.82986,8.14052,6.73989,5.57915,4.61754,3.82115,3.16175,2.61589,12.5295
1898,5.11616,20.2477,95.4522,199.818,300.112,376.967,424.011,442.914,439.09,418.914,388.265,351.93,313.487,275.422,239.33,206.13,176.263,149.843,126.774,106.835,89.7409,75.1811,62.8448,52.437,43.6868,36.3512,30.2159,25.0945,20.8262,17.2736,14.3199,11.8664,9.82983,8.14049,6.73987,5.57913,4.61753,3.82114,3.16174,2.61589,12.5294
1899,5.11617,20.2477,95.4522,199.818,300.111,376.966,424.015,442.926,439.101,418.922,388.272,351.938,313.494,275.426,239.33,206.129,176.262,149.842,126.773,106.834,89.7404,75.1807,62.8445,52.4368,43.6866,36.3511,30.2159,25.0945,20.8262,17.2735,14.3199,11.8663,9.82981,8.14048,6.73986,5.57912,4.61752,3.82114,3.16174,2.61588,12.5294
1900,5.11617,20.2477,95.4523,199.818,300.11,376.965,424.014,442.93,439.113,418.932,388.279,351.943,313.5,275.431,239.333,206.129,176.261,149.841,126.772,106.833,89.7396,75.1801,62.844,52.4364,43.6864,36.3509,30.2157,25.0943,20.8261,17.2735,14.3198,11.8663,9.82978,8.14045,6.73984,5.5791,4.61751,3.82112,3.16173,2.61587,12.5294
1901,5.11618,20.2477,95.4523,199.818,300.11,376.964,424.012,442.929,439.116,418.943,388.288,351.95,313.505,275.437,239.337,206.132,176.261,149.84,126.77,106.832,89.7387,75.1794,62.8435,52.436,43.6861,36.3507,30.2156,25.0942,20.826,17.2734,14.3197,11.8662,9.82974,8.14042,6.73981,5.57908,4.61749,3.82111,3.16172,2.61586,12.5294
