"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,5.14292,24.5813,112.953,229.346,335.42,411.846,454.519,467.506,457.903,432.983,398.92,360.431,320.846,282.355,246.282,213.329,183.781,157.647,134.77,114.903,97.7565,83.0272,70.422,59.6662,50.5099,42.7294,36.1276,30.5325,25.795,21.7864,18.3967,15.5317,13.111,11.0663,9.33959,7.88177,6.65111,5.61234,4.73564,3.99576,21.5729
1893,5.1429,24.5815,112.953,229.343,335.413,411.836,454.506,467.489,457.883,432.962,398.9,360.412,320.829,282.34,246.268,213.318,183.771,157.638,134.763,114.897,97.7514,83.0229,70.4183,59.6631,50.5073,42.7272,36.1258,30.531,25.7936,21.7853,18.3958,15.5309,13.1103,11.0657,9.33911,7.88136,6.65077,5.61206,4.73539,3.99556,21.5718
1894,5.14287,24.5814,112.953,229.343,335.408,411.827,454.495,467.475,457.866,432.943,398.88,360.393,320.811,282.324,246.255,213.306,183.761,157.63,134.756,114.891,97.7462,83.0185,70.4147,59.66,50.5046,42.725,36.1239,30.5294,25.7923,21.7842,18.3949,15.5301,13.1096,11.0651,9.33863,7.88096,6.65043,5.61177,4.73515,3.99535,21.5706
1895,5.14285,24.5813,112.953,229.344,335.408,411.821,454.485,467.463,457.853,432.927,398.863,360.375,320.795,282.309,246.241,213.295,183.751,157.621,134.749,114.885,97.741,83.0141,70.411,59.6569,50.502,42.7227,36.122,30.5278,25.791,21.7831,18.3939,15.5293,13.1089,11.0646,9.33816,7.88055,6.65008,5.61148,4.73491,3.99515,21.5695
1896,5.14285,24.5812,112.952,229.345,335.416,411.829,454.489,467.466,457.857,432.93,398.864,360.374,320.792,282.306,246.238,213.292,183.749,157.619,134.747,114.884,97.7397,83.0131,70.41,59.6562,50.5014,42.7222,36.1216,30.5274,25.7907,21.7828,18.3937,15.5291,13.1088,11.0644,9.33804,7.88046,6.65,5.61141,4.73485,3.9951,21.5693
1897,5.14285,24.5811,112.952,229.345,335.419,411.84,454.499,467.473,457.863,432.938,398.87,360.378,320.794,282.306,246.238,213.291,183.748,157.618,134.746,114.883,97.7392,83.0126,70.4097,59.6559,50.5011,42.722,36.1214,30.5273,25.7906,21.7827,18.3936,15.529,13.1087,11.0644,9.338,7.88042,6.64997,5.61139,4.73483,3.99508,21.5692
1898,5.14285,24.5811,112.952,229.344,335.418,411.844,454.511,467.484,457.87,432.943,398.877,360.384,320.798,282.308,246.238,213.291,183.747,157.618,134.745,114.882,97.7387,83.0122,70.4093,59.6556,50.5009,42.7218,36.1212,30.5272,25.7904,21.7826,18.3935,15.529,13.1087,11.0643,9.33796,7.88039,6.64995,5.61136,4.73481,3.99507,21.5691
1899,5.14285,24.5812,112.952,229.344,335.417,411.843,454.516,467.497,457.881,432.95,398.883,360.391,320.804,282.312,246.24,213.291,183.747,157.617,134.745,114.882,97.7384,83.0119,70.4091,59.6554,50.5007,42.7217,36.1212,30.5271,25.7904,21.7826,18.3935,15.5289,13.1086,11.0643,9.33794,7.88037,6.64993,5.61135,4.7348,3.99506,21.5691
1900,5.14286,24.5812,112.952,229.344,335.417,411.841,454.515,467.501,457.893,432.96,398.889,360.396,320.809,282.316,246.243,213.292,183.747,157.617,134.744,114.882,97.7379,83.0115,70.4088,59.6551,50.5005,42.7215,36.121,30.5269,25.7903,21.7825,18.3934,15.5289,13.1086,11.0643,9.3379,7.88034,6.64991,5.61133,4.73478,3.99504,21.569
1901,5.14286,24.5812,112.952,229.344,335.417,411.841,454.513,467.5,457.897,432.972,398.898,360.401,320.813,282.321,246.247,213.295,183.748,157.617,134.744,114.881,97.7374,83.0111,70.4084,59.6548,50.5002,42.7213,36.1208,30.5268,25.7901,21.7824,18.3933,15.5288,13.1085,11.0642,9.33786,7.88031,6.64988,5.61131,4.73476,3.99502,21.5689
