"","Estimate","Lower Interval","Upper Interval"
"Unfished Spawning Output","1632.81","1577.19406197469","1688.42593802531"
"Unfished Age 0+ Biomass (mt)","11576.1","11142.1992531746","12010.0007468254"
"Unfished Recruitment (R0)","3807.86","3678.15859933747","3937.56140066253"
"Spawning Output (2023)","899.771","855.052853721531","944.489146278469"
"Fraction Unfished (2023)","0.551058","0.528994881422431","0.573121118577569"
"Reference Points Based SB40\%","","",""
"Proxy Spawning Output SB40\%","653.123","630.876624789877","675.369375210124"
"SPR Resulting in SB40\%","0.458333","0.458333","0.458333"
"Exploitation Rate Resulting in SB40\%","0.0732609","0.0726739143061981","0.0738478856938019"
"Yield with SPR Based On SB40\% (mt)","481.514","463.997449076648","499.030550923352"
"Reference Points Based on SPR Proxy for MSY","","",""
"Proxy Spawning Output (SPR50)","728.484","703.670659959325","753.297340040676"
"SPR50","0.5","",""
"Exploitation Rate Corresponding to SPR50","0.064922","0.0644040265980577","0.0654399734019423"
"Yield with SPR50 at SB SPR (mt)","454.965","438.299720234054","471.630279765946"
"Reference Points Based on Estimated MSY Values","","",""
"Spawning Output at MSY (SB MSY)","386.953","373.076454989456","400.829545010544"
"SPR MSY","0.311168","0.309904464138195","0.312431535861805"
"Exploitation Rate Corresponding to SPR MSY","0.110496","0.109890574965032","0.111101425034968"
"MSY (mt)","533.651","514.70541973588","552.59658026412"
