"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","442.144","479.453","594.517","524.531","541.429","415.068","437.551","435.565","435.538","526.003","NA"
"1-SPR","0.49","0.50","0.56","0.52","0.52","0.43","0.44","0.43","0.42","0.48","NA"
"Exploitation Rate","0.06","0.06","0.08","0.07","0.07","0.05","0.05","0.05","0.05","0.06","NA"
"Age 0+ Biomass (mt)","7,453","7,638","7,808","7,891","7,989","8,080","8,211","8,237","8,206","8,143","11,575"
"Spawning Output","719","726","740","745","760","773","806","838","869","895","900"
"Interval","634–804","642–810","657–824","663–827","679–841","695–852","731–881","768–909","804–933","839–951","855–944"
"Recruits","5,030","4,639","2,256","6,225","1,596","3,437","3,462","3,487","3,508","3,525","3,528"
"Interval","4,417–5,729","4,015–5,359","1,741–2,923","5,295–7,318","991–2,569","3,318–3,560","3,347–3,582","3,374–3,603","3,399–3,621","3,419–3,634","3,426–3,634"
"Fraction Unfished","0.4","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6"
"Interval","0.4–0.5","0.4–0.5","0.4–0.5","0.4–0.5","0.4–0.5","0.4–0.5","0.5–0.5","0.5–0.5","0.5–0.6","0.5–0.6","0.5–0.6"
