"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1673.1,1383.57,1144.16,946.172,782.445,647.05,535.084,442.493,365.923,302.604,250.241,206.939,171.13,141.518,117.029,96.7784,80.0318,66.183,54.7307,45.26,37.4282,30.9516,25.5957,21.1666,17.5039,14.475,11.9702,9.8989,8.18599,6.76948,5.59808,4.62939,3.82831,3.16586,2.61804,2.16501,1.79037,1.48057,1.22437,1.0125,4.83873
1893,1673.09,1383.58,1144.16,946.16,782.427,647.033,535.067,442.474,365.904,302.586,250.226,206.927,171.12,141.51,117.023,96.7733,80.0277,66.1797,54.728,45.2578,37.4264,30.9501,25.5945,21.1656,17.5031,14.4743,11.9697,9.89845,8.18562,6.76917,5.59783,4.62918,3.82814,3.16572,2.61792,2.16491,1.79029,1.4805,1.22431,1.01246,4.83851
1894,1673.08,1383.57,1144.17,946.16,782.417,647.018,535.052,442.459,365.888,302.57,250.211,206.914,171.11,141.501,117.016,96.768,80.0234,66.1763,54.7252,45.2556,37.4246,30.9486,25.5933,21.1646,17.5023,14.4737,11.9691,9.898,8.18524,6.76886,5.59757,4.62897,3.82797,3.16557,2.6178,2.16481,1.79021,1.48043,1.22426,1.01241,4.83829
1895,1673.07,1383.57,1144.16,946.166,782.417,647.01,535.039,442.447,365.876,302.557,250.198,206.902,171.099,141.493,117.009,96.7625,80.0191,66.1728,54.7224,45.2533,37.4227,30.9471,25.5921,21.1636,17.5015,14.473,11.9686,9.89754,8.18487,6.76855,5.59732,4.62876,3.82779,3.16543,2.61768,2.16472,1.79013,1.48037,1.2242,1.01236,4.83807
1896,1673.07,1383.56,1144.15,946.17,782.436,647.022,535.046,442.451,365.881,302.561,250.199,206.9,171.097,141.49,117.007,96.7607,80.0177,66.1717,54.7215,45.2527,37.4222,30.9467,25.5917,21.1633,17.5012,14.4728,11.9685,9.89743,8.18477,6.76848,5.59726,4.6287,3.82775,3.16539,2.61765,2.16469,1.79011,1.48035,1.22419,1.01235,4.83802
1897,1673.07,1383.56,1144.15,946.167,782.443,647.041,535.06,442.46,365.888,302.567,250.204,206.903,171.097,141.49,117.006,96.7597,80.0168,66.1711,54.7211,45.2523,37.422,30.9465,25.5916,21.1632,17.5012,14.4728,11.9684,9.89739,8.18474,6.76845,5.59723,4.62869,3.82774,3.16538,2.61764,2.16468,1.7901,1.48034,1.22418,1.01235,4.838
1898,1673.07,1383.56,1144.15,946.163,782.44,647.047,535.075,442.471,365.895,302.573,250.21,206.907,171.1,141.49,117.006,96.7589,80.016,66.1704,54.7205,45.2519,37.4217,30.9463,25.5914,21.1631,17.5011,14.4727,11.9683,9.89734,8.1847,6.76842,5.59721,4.62867,3.82772,3.16537,2.61763,2.16468,1.7901,1.48034,1.22418,1.01235,4.83799
1899,1673.07,1383.56,1144.15,946.162,782.437,647.045,535.08,442.485,365.905,302.579,250.215,206.913,171.104,141.492,117.006,96.7586,80.0155,66.1698,54.7201,45.2516,37.4214,30.9461,25.5913,21.163,17.501,14.4726,11.9683,9.89731,8.18468,6.7684,5.5972,4.62866,3.82771,3.16536,2.61763,2.16467,1.79009,1.48034,1.22418,1.01234,4.83798
1900,1673.07,1383.56,1144.15,946.162,782.436,647.042,535.079,442.488,365.915,302.587,250.219,206.916,171.108,141.495,117.008,96.7589,80.0151,66.1693,54.7195,45.2511,37.4211,30.9459,25.5911,21.1629,17.5009,14.4726,11.9682,9.89726,8.18464,6.76837,5.59717,4.62864,3.8277,3.16535,2.61762,2.16466,1.79009,1.48033,1.22417,1.01234,4.83796
1901,1673.07,1383.56,1144.15,946.162,782.436,647.041,535.076,442.487,365.918,302.596,250.226,206.92,171.11,141.498,117.01,96.7601,80.0153,66.1689,54.7191,45.2506,37.4207,30.9456,25.5909,21.1627,17.5008,14.4725,11.9682,9.89721,8.1846,6.76834,5.59715,4.62862,3.82768,3.16534,2.61761,2.16465,1.79008,1.48032,1.22417,1.01234,4.83794
1902,1673.08,1383.56,1144.15,946.163,782.435,647.04,535.075,442.484,365.916,302.597,250.232,206.925,171.113,141.5,117.013,96.762,80.0162,66.169,54.7187,45.2502,37.4202,30.9452,25.5906,21.1625,17.5006,14.4723,11.9681,9.89713,8.18454,6.76829,5.59711,4.62859,3.82766,3.16532,2.61759,2.16464,1.79007,1.48032,1.22416,1.01233,4.83792
1903,1673.08,1383.56,1144.15,946.164,782.436,647.04,535.074,442.483,365.914,302.596,250.234,206.93,171.117,141.503,117.014,96.764,80.0177,66.1697,54.7187,45.2499,37.4198,30.9448,25.5903,21.1622,17.5004,14.4722,11.968,9.89705,8.18448,6.76824,5.59707,4.62856,3.82763,3.1653,2.61757,2.16463,1.79006,1.48031,1.22415,1.01233,4.83789
