Primary intra-reader comparison,,,,,,,,,,
,Reader 1,,,Reader 1,,,Model selection,,,
Model,Bias,Precision,,Bias,Precision,,AICc,DAICc,BIC,DBIC
1,0,1,,0,1,,18480,61,18616,50
2,0,2,,0,2,,18424,5,18565,0
3,0,3,,0,3,,18485,66,18626,61
4,0,1,,1,1,,18466,46,18610,44
5,0,2,,1,2,,18428,9,18578,12
6,0,3,,1,3,,18419,0,18569,4
7,0,1,,2,1,,18463,44,18613,47
8,0,2,,2,2,,18430,11,18586,21
9,0,3,,2,3,,18419,0,18575,10
,,,,,,,,,,
Primary reader vs Reader 2,,,,,,,,,,
,Reader 1,,,Reader 2,,,Model selection,,,
Model,Bias,Precision,,Bias,Precision,,AICc,DAICc,BIC,DBIC
1,0,1,,0,1,,1189,34,1222,38
2,0,2,,0,2,,1201,46,1234,49
3,0,3,,0,3,,1195,40,1228,43
4,0,1,,1,1,,1165,11,1197,13
5,0,2,,1,2,,1179,25,1209,25
6,0,3,,1,3,,1171,16,1201,16
7,0,1,,2,1,,1155,0,1185,0
8,0,2,,2,2,,1169,15,1196,12
9,0,3,,2,3,,1179,24,1205,21
,,,,,,,,,,
Primary reader vs Reader 3,,,,,,,,,,
,Reader 1,,,Reader 3,,,Model selection,,,
Model,Bias,Precision,,Bias,Precision,,AICc,DAICc,BIC,DBIC
1,0,1,,0,1,,2591,12,2693,8
2,0,2,,0,2,,2579,0,2685,0
3,0,3,,0,3,,2590,11,2696,11
4,0,1,,1,1,,2593,14,2701,16
5,0,2,,1,2,,2589,10,2700,15
6,0,3,,1,3,,2592,13,2703,18
7,0,1,,2,1,,2596,17,2707,22
8,0,2,,2,2,,2588,9,2702,17
9,0,3,,2,3,,2598,18,2711,26
,,,,,,,,,,
Primary reader vs Reader 4,,,,,,,,,,
,Reader 1,,,Reader 4,,,Model selection,,,
Model,Bias,Precision,,Bias,Precision,,AICc,DAICc,BIC,DBIC
1,0,1,,0,1,,559,0,592,0
2,0,2,,0,2,,563,5,596,4
3,0,3,,0,3,,567,8,600,7
4,0,1,,1,1,,567,8,599,6
5,0,2,,1,2,,574,15,604,11
6,0,3,,1,3,,564,5,594,1
7,0,1,,2,1,,571,13,601,9
8,0,2,,2,2,,576,18,603,11
9,0,3,,2,3,,577,18,603,11
,,,,,,,,,,
Primary reader vs Reader 5,,,,,,,,,,
,Reader 1,,,Reader 5,,,Model selection,,,
Model,Bias,Precision,,Bias,Precision,,AICc,DAICc,BIC,DBIC
1,0,1,,0,1,,1521,0,1559,0
2,0,2,,0,2,,1551,29,1587,29
3,0,3,,0,3,,1528,7,1565,6
4,0,1,,1,1,,1529,8,1565,7
5,0,2,,1,2,,1560,39,1595,37
6,0,3,,1,3,,1537,16,1572,14
7,0,1,,2,1,,1530,9,1565,7
8,0,2,,2,2,,1533,11,1565,7
9,0,3,,2,3,,1552,31,1585,27
,,,,,,,,,,
Primary reader vs Readers 5 & 6,,,,,,,,,,
,Reader 1,,,Readers 5 & 6,,,Model selection,,,
Model,Bias,Precision,,Bias,Precision,,AICc,DAICc,BIC,DBIC
1,0,1,,0,1,,1064,0,1128,0
2,0,2,,0,2,,1072,8,1140,12
3,0,3,,0,3,,1065,1,1133,5
4,0,1,,1,1,,1070,6,1139,11
5,0,2,,1,2,,1077,13,1150,22
6,0,3,,1,3,,1074,10,1147,19
7,0,1,,2,1,,1072,8,1145,17
8,0,2,,2,2,,1078,14,1154,26
9,0,3,,2,3,,1078,14,1154,26
