"Year","Trawl_wdis","Non-Trawl_wdis","Ocean","Shore","Total Catch"
1892,"0.00","0.25","0.00","0.25","0.50"
1893,"0.00","0.25","0.00","0.25","0.50"
1894,"0.00","0.25","0.00","0.25","0.50"
1895,"0.00","0.06","0.00","0.06","0.12"
1896,"0.00","0.02","0.00","0.02","0.04"
1897,"0.00","0.02","0.00","0.02","0.04"
1898,"0.00","0.01","0.00","0.01","0.02"
1899,"0.00","0.02","0.00","0.02","0.04"
1900,"0.00","0.02","0.00","0.02","0.04"
1901,"0.00","0.03","0.00","0.03","0.06"
1902,"0.00","0.03","0.00","0.03","0.06"
1903,"0.00","0.04","0.00","0.04","0.08"
1904,"0.00","0.05","0.00","0.05","0.10"
1905,"0.00","0.05","0.00","0.05","0.10"
1906,"0.00","0.06","0.00","0.06","0.12"
1907,"0.00","0.06","0.00","0.06","0.12"
1908,"0.00","0.07","0.00","0.07","0.14"
1909,"0.00","0.08","0.00","0.08","0.16"
1910,"0.00","0.08","0.00","0.08","0.16"
1911,"0.00","0.09","0.00","0.09","0.18"
1912,"0.00","0.10","0.00","0.10","0.20"
1913,"0.00","0.10","0.00","0.10","0.20"
1914,"0.00","0.11","0.00","0.11","0.22"
1915,"0.00","0.11","0.00","0.11","0.22"
1916,"0.00","0.12","0.00","0.12","0.24"
1917,"0.00","0.13","0.00","0.13","0.26"
1918,"0.00","0.13","0.00","0.13","0.26"
1919,"0.00","0.14","0.00","0.14","0.28"
1920,"0.00","0.15","0.00","0.15","0.30"
1921,"0.00","0.15","0.00","0.15","0.30"
1922,"0.00","0.16","0.00","0.16","0.32"
1923,"0.00","0.16","0.00","0.16","0.32"
1924,"0.00","0.17","0.00","0.17","0.34"
1925,"0.00","0.18","0.00","0.18","0.36"
1926,"0.00","0.18","0.00","0.18","0.36"
1927,"0.00","0.19","0.00","0.19","0.38"
1928,"0.00","0.33","0.00","0.33","0.66"
1929,"0.00","0.89","0.00","0.88","1.77"
1930,"0.00","1.13","0.00","1.12","2.25"
1931,"0.00","0.68","0.00","0.67","1.35"
1932,"0.28","0.14","0.00","0.14","0.56"
1933,"0.17","0.26","0.00","0.26","0.69"
1934,"0.01","0.32","0.00","0.32","0.65"
1935,"0.14","0.21","0.00","0.21","0.56"
1936,"0.50","0.85","0.00","0.84","2.19"
1937,"0.97","1.74","0.00","1.73","4.44"
1938,"0.00","1.78","0.00","1.77","3.55"
1939,"1.37","1.97","0.00","1.95","5.29"
1940,"1.32","2.61","0.00","2.59","6.52"
1941,"3.43","2.14","0.00","2.12","7.69"
1942,"5.28","2.94","0.00","2.92","11.15"
1943,"32.62","3.90","0.00","3.87","40.40"
1944,"75.31","4.17","0.00","4.14","83.62"
1945,"125.30","4.63","0.00","4.59","134.52"
1946,"88.27","4.25","0.00","4.22","96.74"
1947,"29.37","1.62","0.00","1.61","32.60"
1948,"17.74","2.75","0.00","2.73","23.22"
1949,"5.92","1.65","0.00","1.64","9.21"
1950,"56.44","1.94","0.00","1.92","60.30"
1951,"15.02","1.18","0.00","1.17","17.37"
1952,"5.66","1.69","0.00","1.68","9.03"
1953,"19.22","0.89","0.00","0.88","20.99"
1954,"24.92","0.83","0.00","0.82","26.56"
1955,"33.37","1.57","0.00","1.56","36.51"
1956,"23.05","0.90","0.00","0.89","24.83"
1957,"22.48","1.53","0.00","1.52","25.54"
1958,"33.53","0.64","0.00","0.64","34.81"
1959,"41.18","1.02","0.00","1.01","43.21"
