"","Label","Type","00- Reference Model","01- No Acoustic visual","02- No tagging index","03- No non-trawl index","04- No ORBS index","05- No MRFSS index","06- No MPA index","07- Add SMURF index","08- No data-weighting","09- Dirichlet","10- McA-I","11- 2015 Catch history","12- Sex=3","13- Sex=3, est M","14- No age bias"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7587.34,7584.46,7612.52,7648.76,7620.96,7593.96,7595.64,7601.3,33506.6,67802,4198.6,7600.82,7972.74,7876.08,7425.2
"3",NA,"deltaAIC",0,-2.88000000000011,25.1800000000003,61.4200000000001,33.6199999999999,6.61999999999989,8.30000000000018,13.96,25919.26,60214.66,-3388.74,13.4799999999996,385.4,288.74,-162.14
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-78.8745,-80.3262,-65.2486,-51.7599,-60.877,-74.2065,-73.6943,-72.9136,-79.1542,-78.1879,-78.7312,-79.4079,-74.3635,-80.8059,-77.3064
"6",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,"Non.Trawl_wdis",-37.9504,-37.3752,-38.5994,0,-39.5048,-38.5108,-38.2412,-37.9553,-38.6398,-38.066,-37.3893,-37.0058,-38.0375,-36.1425,-36.1961
"8",NA,"Ocean",-18.7519,-19.2006,-18.2522,-26.5199,0,-18.2299,-18.4623,-18.7627,-16.4229,-16.3478,-19.7036,-19.493,-17.452,-18.3567,-19.714
"9",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,"Acoustic_Visual",1.35773,NA,1.29005,3.33734,1.05123,1.3262,1.28174,1.35541,-0.0977109,-0.162605,1.8251,1.39973,2.06795,-0.232858,2.37893
"11",NA,"Tag",-13.7463,-13.8289,NA,-15.1884,-13.326,-13.6499,-13.7482,-13.7464,-13.5761,-13.8206,-13.5669,-14.0185,-14.6993,-15.3073,-13.1833
"12",NA,"MRFSS",-4.58449,-4.63302,-4.48561,-6.55918,-4.13145,NA,-4.52441,-4.55648,-5.86709,-5.36322,-4.49205,-5.05324,-1.44863,-6.13399,-5.29969
"13",NA,"MPA",-5.19912,-5.28848,-5.20143,-6.82978,-4.96604,-5.14216,NA,-5.20282,-4.55056,-4.42765,-5.40446,-5.237,-4.79397,-4.63256,-5.29225
"14",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,5.95475,NA,NA,NA,NA,NA,NA,NA
"15","Survey_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",NA,"Non.Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",NA,"Ocean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",NA,"Acoustic_Visual",0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",NA,"Tag",0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0
"23",NA,"MRFSS",0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0
"24",NA,"MPA",0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0
"25",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"26","Lt_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,"ALL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",NA,"Trawl_wdis",73.1152,73.0427,73.1786,72.7102,73.2922,73.2399,73.1307,73.1219,185.398,942.347,127.85,73.6179,74.9454,73.0875,71.9348
