,Label,Type,0. Reference Model,"01- AV q = 1, low CV","02- Est AV q, low CV","03- AV q = 1, CV0.45","04- Est AV q, CV0.45",05- Tag q 2015,06- Tag q 2015 xvar
1,AIC,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,AIC,7492.98,7600.84,7443.32,7460.1,7455.54,7664.24,7465.5
3,NA,deltaAIC,0,107.86,-49.66,-32.88,-37.44,171.26,-27.48
4,Survey_likelihood,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,ALL,-76.0855,-64.2026,-81.195,-72.1337,-75.0858,-27.9471,-70.415
6,NA,Trawl_wdis,0,0,0,0,0,0,0
7,NA,Non.Trawl_wdis,-38.3081,-31.6755,-35.9968,-37.1121,-35.9968,-29.7864,-36.9218
8,NA,Ocean,-13.4952,-9.66618,-18.9292,-18.3415,-18.9292,-23.108,-18.2304
9,NA,Shore,0,0,0,0,0,0,0
10,NA,Acoustic_Visual,-6.90464,-6.90331,-6.90776,2.37571,-0.798508,-6.90776,-6.90776
11,NA,Tag,-10.2305,-9.28495,-11.1513,-11.077,-11.1513,44.418,-0.227965
12,NA,MRFSS,-2.48714,-2.7748,-2.24193,-2.16448,-2.24193,-6.63721,-2.26942
13,NA,MPA,-4.65984,-3.89782,-5.96808,-5.81428,-5.96808,-5.92573,-5.85762
14,NA,SMURF,NA,NA,NA,NA,NA,NA,NA
15,Surv_lambda,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,ALL,NA,NA,NA,NA,NA,NA,NA
17,NA,Trawl_wdis,0,0,0,0,0,0,0
18,NA,Non.Trawl_wdis,1,1,1,1,1,1,1
19,NA,Ocean,1,1,1,1,1,1,1
20,NA,Shore,0,0,0,0,0,0,0
21,NA,Acoustic_Visual,1,1,1,1,1,1,1
22,NA,Tag,1,1,1,1,1,1,1
23,NA,MRFSS,1,1,1,1,1,1,1
24,NA,MPA,1,1,1,1,1,1,1
25,NA,SMURF,NA,NA,NA,NA,NA,NA,NA
26,Length_likelihood,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,ALL,492.509,514.608,471.472,472.283,471.472,520.784,472.767
28,NA,Trawl_wdis,71.6334,70.4426,73.2044,73.1853,73.2044,68.5132,73.0768
29,NA,Non.Trawl_wdis,285.563,296.857,271.955,272.37,271.955,306.105,273.015
30,NA,Ocean,91.7197,98.4588,87.1289,87.3185,87.1289,102.442,87.1148
31,NA,Shore,26.6222,31.2452,23.0059,23.2052,23.0059,26.0075,23.3053
32,NA,Acoustic_Visual,0,0,0,0,0,0,0
33,NA,Tag,0,0,0,0,0,0,0
34,NA,MRFSS,0,0,0,0,0,0,0
35,NA,MPA,16.9707,17.605,16.1778,16.204,16.1778,17.7163,16.2548
36,NA,SMURF,NA,NA,NA,NA,NA,NA,NA
37,Length_lambda,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,ALL,NA,NA,NA,NA,NA,NA,NA
39,NA,Trawl_wdis,1,1,1,1,1,1,1
40,NA,Non.Trawl_wdis,1,1,1,1,1,1,1
41,NA,Ocean,1,1,1,1,1,1,1
42,NA,Shore,1,1,1,1,1,1,1
43,NA,Acoustic_Visual,0,0,0,0,0,0,0
44,NA,Tag,0,0,0,0,0,0,0
45,NA,MRFSS,0,0,0,0,0,0,0
46,NA,MPA,1,1,1,1,1,1,1
47,NA,SMURF,NA,NA,NA,NA,NA,NA,NA
48,Age_likelihood,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,ALL,3253.3,3254.77,3267.17,3266.33,3267.17,3250.07,3265.03
50,NA,Trawl_wdis,668.511,674.828,663.502,663.75,663.502,670.096,663.89
51,NA,Non.Trawl_wdis,1329.66,1329.59,1334.86,1334.51,1334.86,1332.52,1333.91
52,NA,Ocean,1255.12,1250.35,1268.81,1268.07,1268.81,1247.46,1267.23
53,NA,Shore,0,0,0,0,0,0,0
54,NA,Acoustic_Visual,0,0,0,0,0,0,0
55,NA,Tag,0,0,0,0,0,0,0
56,NA,MRFSS,0,0,0,0,0,0,0
57,NA,MPA,0,0,0,0,0,0,0
58,NA,SMURF,NA,NA,NA,NA,NA,NA,NA
59,Age_lambda,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,ALL,NA,NA,NA,NA,NA,NA,NA
61,NA,Trawl_wdis,1,1,1,1,1,1,1
62,NA,Non.Trawl_wdis,1,1,1,1,1,1,1
63,NA,Ocean,1,1,1,1,1,1,1
64,NA,Shore,0,0,0,0,0,0,0
65,NA,Acoustic_Visual,0,0,0,0,0,0,0
66,NA,Tag,0,0,0,0,0,0,0
67,NA,MRFSS,0,0,0,0,0,0,0
68,NA,MPA,0,0,0,0,0,0,0
69,NA,SMURF,NA,NA,NA,NA,NA,NA,NA
70,Parameters,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NatM_uniform_Fem_GP_1,0.19,0.19,0.19,0.19,0.19,0.19,0.19
72,NA,L_at_Amin_Fem_GP_1,0,0,0,0,0,0,0
73,NA,L_at_Amax_Fem_GP_1,50.8464,51.3571,50.2949,50.3093,50.2949,51.3848,50.3506
74,NA,VonBert_K_Fem_GP_1,0.181808,0.179551,0.184197,0.184136,0.184197,0.179988,0.183967
75,NA,CV_young_Fem_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
76,NA,CV_old_Fem_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
77,NA,Wtlen_1_Fem_GP_1,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05,2.55E-05
78,NA,Wtlen_2_Fem_GP_1,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504
79,NA,Mat50%_Fem_GP_1,40.36,40.36,40.36,40.36,40.36,40.36,40.36
80,NA,Mat_slope_Fem_GP_1,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
81,NA,Eggs_scalar_Fem_GP_1,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08,1.41E-08
82,NA,Eggs_exp_len_Fem_GP_1,4.685,4.685,4.685,4.685,4.685,4.685,4.685
83,NA,NatM_uniform_Mal_GP_1,0.17,0.17,0.17,0.17,0.17,0.17,0.17
84,NA,L_at_Amin_Mal_GP_1,0,0,0,0,0,0,0
85,NA,L_at_Amax_Mal_GP_1,44.8755,45.3166,44.4828,44.4888,44.4828,45.3835,44.5188
86,NA,VonBert_K_Mal_GP_1,0.223622,0.220608,0.225959,0.225945,0.225959,0.220946,0.22577
87,NA,CV_young_Mal_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
88,NA,CV_old_Mal_GP_1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
89,NA,Wtlen_1_Mal_GP_1,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05,2.56E-05
90,NA,Wtlen_2_Mal_GP_1,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394
91,NA,CohortGrowDev,1,1,1,1,1,1,1
92,NA,FracFemale_GP_1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
93,NA,SR_LN(R0),8.24482,8.49655,8.07687,8.08608,8.07687,8.25114,8.0898
94,NA,SR_BH_steep,0.72,0.72,0.72,0.72,0.72,0.72,0.72
95,NA,SR_sigmaR,0.6,0.6,0.6,0.6,0.6,0.6,0.6
96,NA,SR_regime,0,0,0,0,0,0,0
97,NA,SR_autocorr,0,0,0,0,0,0,0
98,NA,Main_RecrDev_1980,-1.08,-1.34886,-0.832649,-0.848619,-0.832649,-0.963625,-0.855556
99,NA,Main_RecrDev_1981,-0.862507,-1.08532,-0.657843,-0.671358,-0.657844,-0.754783,-0.676596
100,NA,Main_RecrDev_1982,-0.317025,-0.528556,-0.119576,-0.133327,-0.119576,-0.198045,-0.137129
101,NA,Main_RecrDev_1983,-0.441283,-0.645631,-0.259506,-0.272465,-0.259506,-0.307888,-0.275274
102,NA,Main_RecrDev_1984,-0.276819,-0.477202,-0.100384,-0.113129,-0.100384,-0.141647,-0.115463
103,NA,Main_RecrDev_1985,-0.14697,-0.339946,0.0206269,0.00837976,0.0206269,-0.0128455,0.00643509
104,NA,Main_RecrDev_1986,-0.333052,-0.51143,-0.18168,-0.193015,-0.18168,-0.198406,-0.194364
105,NA,Main_RecrDev_1987,-0.372012,-0.526476,-0.244535,-0.254739,-0.244535,-0.230783,-0.254979
106,NA,Main_RecrDev_1988,-0.296899,-0.419991,-0.198214,-0.207117,-0.198214,-0.145348,-0.206034
107,NA,Main_RecrDev_1989,-0.0140731,-0.105124,0.057041,0.0493504,0.057041,0.148764,0.051655
108,NA,Main_RecrDev_1990,-0.0590344,-0.12289,-0.0115668,-0.018214,-0.0115668,0.114365,-0.0149364
109,NA,Main_RecrDev_1991,0.0777129,0.0383896,0.104412,0.0987177,0.104412,0.258748,0.10271
110,NA,Main_RecrDev_1992,0.00782925,-0.00824716,0.0153496,0.0106578,0.0153496,0.19133,0.0150582
111,NA,Main_RecrDev_1993,0.0231986,0.0164604,0.0254045,0.02126,0.0254045,0.195078,0.0252138
112,NA,Main_RecrDev_1994,0.344175,0.340159,0.346706,0.342976,0.346706,0.494744,0.346122
113,NA,Main_RecrDev_1995,0.303778,0.299786,0.30818,0.304841,0.30818,0.427909,0.307152
114,NA,Main_RecrDev_1996,0.0243693,0.0274374,0.0225051,0.0198596,0.0225051,0.126727,0.0219604
115,NA,Main_RecrDev_1997,-0.0234348,-0.00726047,-0.0376963,-0.0393523,-0.0376963,0.0601377,-0.0369109
116,NA,Main_RecrDev_1998,-0.299024,-0.277253,-0.319326,-0.320223,-0.319326,-0.234881,-0.317485
117,NA,Main_RecrDev_1999,0.631345,0.674164,0.60016,0.600279,0.60016,0.683669,0.602417
118,NA,Main_RecrDev_2000,0.732128,0.78829,0.689787,0.690405,0.689787,0.736038,0.697297
119,NA,Main_RecrDev_2001,0.309175,0.40936,0.255749,0.256353,0.255749,0.175094,0.270034
120,NA,Main_RecrDev_2002,-0.447303,-0.483714,-0.413572,-0.41655,-0.413573,-0.51628,-0.411258
121,NA,Main_RecrDev_2003,0.54202,0.660552,0.481903,0.48397,0.481904,0.378148,0.49671
122,NA,Main_RecrDev_2004,-1.01491,-1.10986,-0.959216,-0.962303,-0.959216,-1.02908,-0.961818
123,NA,Main_RecrDev_2005,0.541606,0.644493,0.498107,0.500322,0.498108,0.37342,0.508527
124,NA,Main_RecrDev_2006,0.0420571,0.121487,0.0153551,0.01758,0.0153551,-0.0186555,0.0167455
