"","Label","Type","00- Reference Model","01- No Acoustic visual","02- No tagging index","03- No non-trawl index","04- No ORBS index","05- No MRFSS index","06- No MPA index","07- Add SMURF index","08- No data-weighting","09- Dirichlet","10- McA-I","11- 2015 Catch history","12- Sex=3","13- Sex=3, est M","14- No age bias"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",5800.18,6955.58,6982.62,7014.62,6990.7,6965.58,6965.44,6971.26,33506.6,67802,4078.82,6968.12,7318.3,7218.74,6783.18
"3",NA,"deltaAIC",0,1155.4,1182.44,1214.44,1190.52,1165.4,1165.26,1171.08,27706.42,62001.82,-1721.36,1167.94,1518.12,1418.56,983
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-79.4309,-80.9099,-66.398,-55.2165,-62.2268,-74.4871,-75.0182,-74.1333,-79.1542,-78.1879,-79.2026,-80.628,-73.7586,-80.5645,-79.2349
"6",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,"Non.Trawl_wdis",-37.4592,-36.7788,-38.2844,0,-39.4151,-38.2391,-37.7407,-37.4077,-38.6398,-38.066,-37.3876,-36.3908,-37.6226,-35.3451,-35.7473
"8",NA,"Ocean",-19.017,-19.3193,-18.1991,-27.3133,0,-18.1373,-18.5471,-18.8634,-16.4229,-16.3478,-19.4425,-19.6199,-17.3618,-18.592,-19.9965
"9",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,"Acoustic_Visual",1.07317,NA,0.656711,2.5442,0.447067,0.74323,0.667657,0.735396,-0.0977109,-0.162605,1.4277,0.757805,2.04462,-0.376861,1.64587
"11",NA,"Tag",-13.6683,-14.007,NA,-15.4843,-13.3796,-13.7645,-13.9176,-13.9064,-13.5761,-13.8206,-13.6965,-14.1663,-14.7679,-15.3627,-13.5021
"12",NA,"MRFSS",-5.1415,-5.56683,-5.40363,-8.15013,-4.94926,NA,-5.48039,-5.51592,-5.86709,-5.36322,-4.82218,-6.01393,-1.33942,-6.32958,-6.43341
"13",NA,"MPA",-5.21808,-5.23788,-5.16755,-6.81299,-4.92992,-5.08942,NA,-5.15943,-4.55056,-4.42765,-5.28147,-5.19487,-4.7115,-4.55817,-5.20136
"14",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,5.98416,NA,NA,NA,NA,NA,NA,NA
"15","Survey_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",NA,"Non.Trawl_wdis",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
"19",NA,"Ocean",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"20",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",NA,"Acoustic_Visual",1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",NA,"Tag",1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1
"23",NA,"MRFSS",1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1
"24",NA,"MPA",1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1
"25",NA,"SMURF",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"26","Lt_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
