"","Label","Type","00- Reference Model","01- 2015 M values","02- Lorenzen_M","03- Est M","04- Fix gr parms, est M","05- Fix gr parms","06- Est Lmin","07- Est growth CVs","08- Bio maturity","09- Fxn Mat Logistic","10- Fec=Wt","11- No rec devs","12- Est all rec devs","13- Sel all logistic"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7587.34,7575.26,7566.06,7456.18,7466.56,7526.44,7581.76,7595.34,7584.34,7586.94,7585.92,8031.3,7721.32,7549.72
"3",NA,"deltaAIC",0,-12.0799999999999,-21.2799999999997,-131.16,-120.78,-60.9000000000005,-5.57999999999993,8,-3,-0.400000000000546,-1.42000000000007,443.96,133.98,-37.6199999999999
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-78.8745,-79.1187,-78.9434,-77.6672,-80.3814,-78.8747,-78.4144,-78.8745,-79.2049,-78.9128,-79.0366,-75.2745,-91.9531,-78.2396
"6",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,"Non.Trawl_wdis",-37.9504,-37.8484,-37.8355,-35.8373,-37.3919,-37.9503,-37.9732,-37.951,-38.1191,-37.9738,-38.0328,-24.4984,-39.1852,-38.1207
"8",NA,"Ocean",-18.7519,-18.8593,-18.7388,-20.3586,-19.0663,-18.752,-18.709,-18.7513,-18.6096,-18.7325,-18.6823,-26.2366,-17.3231,-18.6094
"9",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,"MPA",-5.19912,-5.16274,-5.27866,-5.55224,-5.22427,-5.19913,-5.21565,-5.199,-5.18765,-5.19775,-5.19336,-7.41929,-4.96224,-5.15646
"11",NA,"Acoustic_Visual",1.35773,1.28762,1.30125,1.96107,0.855199,1.35768,1.48505,1.35742,1.35124,1.35746,1.3527,2.61078,0.882701,1.784
"12",NA,"Tag",-13.7463,-13.7471,-13.8033,-13.7274,-13.8224,-13.7463,-13.7825,-13.7462,-13.7145,-13.742,-13.7302,-11.6225,-13.4724,-13.9917
