"","Label","Type","0- Reference Model","01- 2015 M","02- Lorenzen M","03- Est M","04- Fix growth, est M","05- Fix growth","06- Est Lmin","07- Est CVlts","08- Bio mat ogive","09- Fxnal mat ogive","10- Fec = mat","11- No rec devs","12- Full rec devs","13- Logistic sel"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7492.98,7491.96,7456.26,7382.94,12644.1,12832.74,237088122,7500.98,7487.6,7492.28,7490.5,7973.58,7569.82,7777.46
"3",NA,"deltaAIC",0,-1.01999999999953,-36.7199999999993,-110.04,5151.12,5339.76,237080629.02,8,-5.3799999999992,-0.699999999999818,-2.47999999999956,480.6,76.8400000000001,284.48
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-76.0855,-78.0102,-70.6722,-81.1708,-92.2413,-90.9868,115201000,-76.0855,-75.5718,-76.0062,-75.874,-88.0942,-91.0232,-41.7152
"6",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,"Non.Trawl_wdis",-38.3081,-39.0763,-35.6195,-39.5465,-23.9659,-13.4207,59.1146,-38.3081,-37.9508,-38.2583,-38.1563,-27.6359,-38.1918,-19.816
"8",NA,"Ocean",-13.4952,-14.0538,-12.273,-15.2419,-25.7221,-27.1911,-14.5823,-13.4952,-13.2637,-13.4616,-13.3946,-24.8124,-13.2319,-5.85334
"9",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,"MPA",-4.65984,-4.77281,-4.36082,-4.99165,-7.00043,-8.28819,-5.20242,-4.65985,-4.61497,-4.65339,-4.64065,-6.71139,-4.66425,-2.37727
"11",NA,"Acoustic_Visual",-6.90464,-6.90521,-6.90355,-6.90675,-6.90772,-6.90158,115199000,-6.90464,-6.90454,-6.90462,-6.90459,-6.89828,-6.90654,-6.9042
"12",NA,"Tag",-10.2305,-10.2324,-10.3196,-10.8701,-12.9246,-15.0994,0.621525,-10.2305,-10.1922,-10.2251,-10.213,-11.5311,-10.1207,-9.59839
"13",NA,"MRFSS",-2.48714,-2.96971,-1.19576,-3.61387,-15.7205,-20.0857,1793.66,-2.48715,-2.64549,-2.50318,-2.56488,-10.505,-17.908,2.83406
"14","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",NA,"MPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",NA,"Acoustic_Visual",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",NA,"Tag",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",NA,"MRFSS",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"ALL",492.509,502.227,476.224,458.792,579.022,567.326,66928.1,492.509,491.062,492.306,491.876,552.815,475.385,530.694
"26",NA,"Trawl_wdis",71.6334,71.3726,73.0088,73.205,73.3398,72.3718,647.749,71.6333,71.7143,71.6487,71.6604,65.1939,69.6772,80.7915
"27",NA,"Non.Trawl_wdis",285.563,293.564,276.144,266.189,338.876,340.181,33780.9,285.563,284.953,285.467,285.311,340.187,290.432,304.787
"28",NA,"Ocean",91.7197,92.9815,87.2351,82.31,114.881,114.052,31088.2,91.7198,91.2355,91.6518,91.5104,106.549,82.7879,105.067
"29",NA,"Shore",26.6222,27.0944,23.7371,21.2886,35.3861,23.4799,27.6222,26.6222,26.2286,26.5737,26.4399,22.2982,15.5206,24.8008
"30",NA,"MPA",16.9707,17.2142,16.0988,15.7993,16.5394,17.2412,1383.57,16.9707,16.9306,16.9645,16.9545,18.587,16.9674,15.2465
"31",NA,"Acoustic_Visual",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",NA,"Tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,"Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",NA,"Shore",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40",NA,"MPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41",NA,"Acoustic_Visual",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",NA,"Tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"ALL",3253.3,3244.27,3251.13,3223.86,5750.98,5867.92,42204.2,3253.29,3252.9,3253.29,3252.99,3436.96,3236.74,3341.81
"46",NA,"Trawl_wdis",668.511,664.955,669.428,654.622,676.619,668.709,2254.98,668.511,667.793,668.418,668.182,682.743,655.025,669.808
"47",NA,"Non.Trawl_wdis",1329.66,1327.22,1327.37,1319.26,2201.75,2242.53,15444.9,1329.66,1329.66,1329.69,1329.6,1400.02,1323.47,1373.08
"48",NA,"Ocean",1255.12,1252.1,1254.34,1249.97,2872.61,2956.68,24504.3,1255.12,1255.45,1255.18,1255.21,1354.19,1258.24,1298.92
"49",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",NA,"MPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",NA,"Acoustic_Visual",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",NA,"Tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,"Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"58",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",NA,"MPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",NA,"Acoustic_Visual",0,0,0,0,0,0,0,0,0,0,0,0,0,0
