,Trawl,,,,,Non-trawl,,,
Year,Female,Male,Unsexed,Total,,Female,Male,Unsexed,Total
1985,283,321,604,604,,,,,
1992,,,,203,,79,124,,203
1994,19,22,41,41,,,,,
1995,,,,439,,214,220,5,439
1996,,,,228,,75,153,,228
1997,62,105,167,441,,107,167,,274
1998,25,43,68,381,,100,213,,313
1999,,,,152,,58,94,,152
2000,,,,603,,280,323,,603
2001,17,3,20,1049,,511,518,,1029
2002,,,,1332,,670,569,93,1332
2003,18,25,43,1414,,631,694,46,1371
2004,38,30,68,3566,,1811,1687,,3498
2005,28,8,36,2261,,1017,1208,,2225
2006,83,89,172,4572,,2097,2254,49,4400
2007,,,,3838,,2033,1781,24,3838
2008,22,32,54,2914,,1495,1360,5,2860
2009,9,4,13,2944,,1438,1417,76,2931
2010,14,15,29,4257,,1895,2109,224,4228
2011,35,77,112,4471,,2368,1991,,4359
2012,33,48,81,3578,,1802,1642,53,3497
2013,3,2,5,4281,,2249,1967,60,4276
2014,68,55,123,6864,,3446,3238,57,6741
2015,42,28,70,6423,,3001,3334,18,6353
2016,56,70,126,6293,,3266,2890,11,6167
2017,24,20,44,5296,,2787,2461,4,5252
2018,5,7,12,5094,,2825,2235,22,5082
2019,4,1,5,4648,,2106,2506,31,4643
2020,5,4,9,1678,,834,822,13,1669
2021,,,,3199,,1703,1494,2,3199
2022,,,,4006,,1996,2010,,4006
