"Year","Total Biomass (mt)","Spawning Output","Total Biomass 0+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","1-SPR","Exploitation Rate"
1892,"10,304","1,445","10,304","100.0","3,309",0.502,"0.001",4.87175256931572e-05
1893,"10,304","1,445","10,304","100.0","3,309",0.502,"0.001",4.87198897494128e-05
1894,"10,303","1,445","10,303","100.0","3,309",0.502,"0.001",4.87217811596172e-05
1895,"10,303","1,445","10,303","100.0","3,309",0.12,"0.000",1.16470930796855e-05
1896,"10,303","1,445","10,303","100.0","3,309",0.04,"0.000",3.88236435989518e-06
1897,"10,303","1,445","10,303","100.0","3,309",0.04,"0.000",3.88232667837835e-06
1898,"10,303","1,445","10,303","100.0","3,309",0.02,"0.000",1.94114449879649e-06
1899,"10,303","1,445","10,303","100.0","3,309",0.04,"0.000",3.88225131753904e-06
1900,"10,303","1,445","10,303","100.0","3,309",0.04,"0.000",3.88221363821651e-06
1901,"10,303","1,445","10,303","100.0","3,309",0.06,"0.000",5.82332045732477e-06
1902,"10,304","1,445","10,304","100.0","3,309",0.06,"0.000",5.82326393943805e-06
1903,"10,304","1,445","10,304","100.0","3,309",0.08,"0.000",7.76435191925074e-06
1904,"10,304","1,445","10,304","100.0","3,309",0.1,"0.000",9.70534570441399e-06
1905,"10,304","1,445","10,304","100.0","3,309",0.1,"0.000",9.70534570441399e-06
1906,"10,304","1,445","10,304","100.0","3,309",0.12,"0.000",1.16465278788761e-05
1907,"10,304","1,445","10,304","100.0","3,309",0.12,"0.000",1.16465278788761e-05
1908,"10,304","1,445","10,304","100.0","3,309",0.141,"0.000",1.36846702576794e-05
1909,"10,304","1,445","10,304","100.0","3,309",0.161,"0.000",1.56257582374921e-05
1910,"10,303","1,445","10,303","100.0","3,309",0.161,"0.000",1.56259098938215e-05
1911,"10,303","1,445","10,303","100.0","3,309",0.181,"0.000",1.75671872118642e-05
1912,"10,303","1,445","10,303","100.0","3,309",0.201,"0.000",1.95083128706337e-05
1913,"10,303","1,445","10,303","100.0","3,309",0.201,"0.000",1.95085022129047e-05
1914,"10,303","1,445","10,303","100.0","3,309",0.221,"0.000",2.14498548980404e-05
1915,"10,303","1,445","10,303","100.0","3,309",0.221,"0.000",2.14500630884208e-05
1916,"10,303","1,445","10,303","100.0","3,309",0.241,"0.000",2.33912452683684e-05
1917,"10,303","1,445","10,303","100.0","3,309",0.261,"0.000",2.53326733249862e-05
1918,"10,303","1,445","10,303","100.0","3,309",0.261,"0.000",2.53329192064293e-05
1919,"10,303","1,445","10,303","100.0","3,309",0.281,"0.000",2.72744037970629e-05
1920,"10,303","1,445","10,303","100.0","3,309",0.301,"0.000",2.92159260769126e-05
1921,"10,302","1,445","10,302","100.0","3,309",0.301,"0.000",2.921620965785e-05
1922,"10,302","1,445","10,302","100.0","3,309",0.321,"0.000",3.11577884764715e-05
1923,"10,302","1,445","10,302","100.0","3,309",0.321,"0.000",3.11580909117382e-05
1924,"10,302","1,445","10,302","100.0","3,309",0.341,"0.000",3.30997262720584e-05
1925,"10,302","1,445","10,302","100.0","3,309",0.361,"0.000",3.50413993263509e-05
1926,"10,302","1,445","10,302","100.0","3,309",0.361,"0.000",3.50417394680645e-05
1927,"10,302","1,445","10,302","100.0","3,309",0.382,"0.000",3.70805385414341e-05
1928,"10,302","1,445","10,302","100.0","3,309",0.663,"0.001",6.4357685064746e-05
1929,"10,301","1,445","10,301","100.0","3,309",1.767,"0.002",0.00017153008328965
1930,"10,300","1,444","10,300","99.9","3,309",2.249,"0.003",0.000218349514563107
1931,"10,298","1,444","10,298","99.9","3,309",1.345,"0.002",0.000130605348507506
1932,"10,298","1,444","10,298","99.9","3,309",0.562,"0.001",5.45763534838553e-05
1933,"10,298","1,444","10,298","99.9","3,309",0.688,"0.001",6.68110354739408e-05
1934,"10,298","1,444","10,298","99.9","3,309",0.653,"0.001",6.34122182623304e-05
1935,"10,298","1,444","10,298","99.9","3,309",0.557,"0.001",5.40892229408223e-05
1936,"10,298","1,444","10,298","99.9","3,309",2.186,"0.002",0.000212274228005438
1937,"10,297","1,444","10,297","99.9","3,308",4.441,"0.005",0.000431303233074674
1938,"10,294","1,443","10,294","99.8","3,308",3.554,"0.004",0.000345266430271531
1939,"10,291","1,442","10,291","99.8","3,308",5.289,"0.006",0.000513939229042571
1940,"10,288","1,442","10,288","99.8","3,308",6.522,"0.007",0.000633967106030561
1941,"10,283","1,441","10,283","99.7","3,308",7.689,"0.009",0.00074771717250299
1942,"10,279","1,440","10,279","99.6","3,308",11.146,"0.013",0.00108436782503794
1943,"10,272","1,438","10,272","99.5","3,307",40.396,"0.044",0.00393267068409934
1944,"10,244","1,430","10,244","98.9","3,305",83.619,"0.086",0.00816280908638312
1945,"10,188","1,412","10,188","97.7","3,301",134.516,"0.131",0.0132036357211567
1946,"10,102","1,385","10,102","95.8","3,295",96.739,"0.100",0.00957650692457705
1947,"10,055","1,370","10,055","94.8","3,291",32.603,"0.037",0.0032423374505241
1948,"10,063","1,372","10,063","94.9","3,292",23.224,"0.027",0.00230776874614941
1949,"10,076","1,376","10,076","95.2","3,293",9.211,"0.011",0.000914107080831638
1950,"10,098","1,383","10,098","95.7","3,294",60.296,"0.065",0.0059712016478837
1951,"10,078","1,378","10,078","95.3","3,293",17.367,"0.020",0.00172325858305219
1952,"10,092","1,383","10,092","95.7","3,294",9.031,"0.011",0.000894849487723192
1953,"10,110","1,389","10,110","96.1","3,296",20.986,"0.024",0.00207574603614208
1954,"10,117","1,392","10,117","96.3","3,297",26.565,"0.030",0.00262580434718145
1955,"10,119","1,393","10,119","96.4","3,297",36.506,"0.041",0.00360781135730239
1956,"10,112","1,391","10,112","96.3","3,296",24.833,"0.028",0.00245567367119901
1957,"10,116","1,392","10,116","96.3","3,297",25.537,"0.029",0.00252439181107344
1958,"10,119","1,393","10,119","96.4","3,297",34.815,"0.039",0.00344069337655407
1959,"10,114","1,391","10,114","96.3","3,296",43.212,"0.048",0.00427232460650162
1960,"10,105","1,388","10,105","96.1","3,296",76.526,"0.081",0.00757330747078092
1961,"10,072","1,378","10,072","95.3","3,293",63.861,"0.069",0.00634063762820576
