"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,4.44572,17.6904,83.4433,174.726,262.488,329.783,371.021,387.647,384.379,366.784,340.006,308.235,274.605,241.291,209.692,180.619,154.46,131.316,111.105,93.6344,78.6557,65.8967,55.0856,45.964,38.2949,31.8654,26.4877,21.9985,18.2571,15.1429,12.5537,10.4029,8.61757,7.13662,5.90876,4.89118,4.04817,3.34999,2.77191,2.29336,10.9848
1893,4.44569,17.6905,83.4432,174.723,262.482,329.775,371.008,387.63,384.358,366.762,339.985,308.216,274.589,241.277,209.681,180.61,154.452,131.309,111.099,93.6299,78.652,65.8936,55.083,45.9619,38.2931,31.8639,26.4865,21.9975,18.2563,15.1422,12.5531,10.4024,8.61718,7.1363,5.90849,4.89096,4.04799,3.34984,2.77178,2.29326,10.9843
1894,4.44567,17.6905,83.4438,174.723,262.479,329.767,370.998,387.618,384.342,366.743,339.965,308.198,274.572,241.263,209.669,180.6,154.444,131.302,111.094,93.6252,78.6481,65.8904,55.0804,45.9597,38.2914,31.8624,26.4853,21.9965,18.2554,15.1415,12.5525,10.4019,8.61679,7.13598,5.90823,4.89074,4.04781,3.34969,2.77166,2.29315,10.9838
1895,4.44565,17.6904,83.4434,174.725,262.479,329.762,370.99,387.607,384.329,366.727,339.947,308.18,274.555,241.248,209.657,180.589,154.435,131.295,111.088,93.6205,78.6443,65.8872,55.0777,45.9576,38.2896,31.8609,26.484,21.9955,18.2546,15.1408,12.552,10.4014,8.6164,7.13565,5.90796,4.89052,4.04762,3.34954,2.77153,2.29305,10.9833
1896,4.44564,17.6903,83.443,174.725,262.485,329.769,370.994,387.611,384.334,366.731,339.948,308.177,274.551,241.244,209.653,180.586,154.432,131.293,111.086,93.6192,78.6432,65.8864,55.077,45.957,38.2891,31.8606,26.4837,21.9953,18.2544,15.1407,12.5518,10.4013,8.61631,7.13557,5.90789,4.89046,4.04758,3.3495,2.7715,2.29303,10.9832
1897,4.44565,17.6903,83.4425,174.725,262.487,329.779,371.004,387.618,384.341,366.739,339.955,308.181,274.552,241.243,209.651,180.584,154.431,131.292,111.085,93.6184,78.6426,65.8859,55.0767,45.9567,38.2889,31.8604,26.4836,21.9952,18.2543,15.1406,12.5518,10.4013,8.61627,7.13555,5.90787,4.89045,4.04756,3.34949,2.77149,2.29302,10.9832
1898,4.44565,17.6903,83.4425,174.724,262.487,329.781,371.015,387.628,384.348,366.746,339.963,308.188,274.556,241.244,209.65,180.583,154.429,131.291,111.084,93.6176,78.642,65.8855,55.0764,45.9565,38.2887,31.8602,26.4835,21.9951,18.2542,15.1405,12.5517,10.4012,8.61624,7.13552,5.90785,4.89043,4.04755,3.34948,2.77148,2.29301,10.9831
1899,4.44565,17.6903,83.4425,174.724,262.486,329.781,371.018,387.64,384.359,366.754,339.97,308.196,274.562,241.247,209.651,180.582,154.428,131.289,111.083,93.6169,78.6415,65.8851,55.0761,45.9563,38.2885,31.8601,26.4834,21.995,18.2542,15.1405,12.5517,10.4012,8.61622,7.1355,5.90784,4.89042,4.04754,3.34947,2.77148,2.293,10.9831
1900,4.44565,17.6903,83.4425,174.724,262.485,329.779,371.017,387.643,384.37,366.763,339.976,308.201,274.568,241.252,209.653,180.582,154.427,131.288,111.082,93.616,78.6407,65.8845,55.0756,45.9559,38.2883,31.8599,26.4833,21.9949,18.2541,15.1404,12.5516,10.4012,8.61619,7.13547,5.90781,4.8904,4.04752,3.34946,2.77147,2.293,10.9831
1901,4.44566,17.6903,83.4426,174.724,262.485,329.779,371.015,387.642,384.373,366.774,339.985,308.207,274.573,241.258,209.658,180.585,154.428,131.288,111.081,93.615,78.6399,65.8839,55.0752,45.9556,38.288,31.8597,26.4831,21.9948,18.254,15.1404,12.5516,10.4011,8.61615,7.13545,5.90779,4.89038,4.04751,3.34945,2.77146,2.29299,10.983
