"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,4.4689,20.8526,96.7663,198.436,292.861,362.572,403.142,417.459,411.355,391.062,362.015,328.463,293.47,259.097,226.631,196.788,169.889,145.995,125.004,106.719,90.8971,77.2762,65.5982,55.6179,47.1106,39.8735,33.7271,28.5138,24.0966,20.357,17.1933,14.5181,12.2571,10.3468,8.73328,7.3707,6.22027,5.24909,4.42934,3.73746,20.1818
1893,4.46888,20.8527,96.7663,198.433,292.854,362.562,403.128,417.442,411.335,391.04,361.994,328.443,293.452,259.082,226.618,196.776,169.878,145.986,124.996,106.713,90.8918,77.2718,65.5944,55.6148,47.1079,39.8713,33.7252,28.5122,24.0952,20.3559,17.1923,14.5173,12.2564,10.3462,8.73279,7.37029,6.21992,5.2488,4.42909,3.73725,20.1807
1894,4.46886,20.8526,96.7669,198.433,292.849,362.553,403.118,417.429,411.318,391.021,361.974,328.424,293.434,259.066,226.604,196.764,169.868,145.977,124.989,106.707,90.8866,77.2674,65.5907,55.6116,47.1052,39.869,33.7233,28.5106,24.0939,20.3547,17.1913,14.5165,12.2558,10.3457,8.7323,7.36988,6.21957,5.2485,4.42884,3.73704,20.1795
1895,4.46884,20.8525,96.7664,198.435,292.849,362.548,403.108,417.417,411.305,391.005,361.956,328.406,293.417,259.05,226.59,196.752,169.858,145.969,124.982,106.701,90.8813,77.2629,65.5869,55.6084,47.1026,39.8667,33.7214,28.509,24.0925,20.3536,17.1904,14.5157,12.2551,10.3451,8.73181,7.36946,6.21922,5.24821,4.42859,3.73683,20.1784
1896,4.46883,20.8524,96.7659,198.436,292.857,362.555,403.112,417.42,411.309,391.008,361.958,328.405,293.414,259.047,226.587,196.749,169.855,145.966,124.98,106.699,90.8799,77.2618,65.5859,55.6076,47.1019,39.8662,33.7209,28.5086,24.0922,20.3533,17.1901,14.5155,12.2549,10.3449,8.73169,7.36936,6.21914,5.24814,4.42853,3.73678,20.1781
1897,4.46883,20.8524,96.7655,198.435,292.859,362.566,403.122,417.427,411.315,391.016,361.964,328.409,293.416,259.047,226.586,196.748,169.854,145.965,124.979,106.698,90.8794,77.2613,65.5856,55.6073,47.1016,39.866,33.7208,28.5085,24.0921,20.3532,17.19,14.5154,12.2548,10.3449,8.73165,7.36933,6.21911,5.24811,4.42851,3.73677,20.178
1898,4.46884,20.8524,96.7654,198.434,292.859,362.57,403.134,417.438,411.322,391.022,361.971,328.415,293.42,259.049,226.586,196.748,169.854,145.965,124.978,106.698,90.8788,77.2609,65.5852,55.607,47.1014,39.8658,33.7206,28.5083,24.0919,20.3531,17.19,14.5153,12.2548,10.3448,8.73161,7.36929,6.21908,5.24809,4.42849,3.73675,20.1779
1899,4.46884,20.8524,96.7654,198.434,292.858,362.569,403.138,417.451,411.333,391.029,361.978,328.422,293.426,259.053,226.588,196.748,169.853,145.964,124.978,106.697,90.8784,77.2605,65.5849,55.6068,47.1012,39.8657,33.7205,28.5082,24.0919,20.353,17.1899,14.5153,12.2548,10.3448,8.73159,7.36928,6.21907,5.24808,4.42848,3.73674,20.1779
1900,4.46884,20.8524,96.7654,198.434,292.857,362.567,403.137,417.455,411.345,391.039,361.984,328.427,293.432,259.058,226.591,196.75,169.854,145.964,124.977,106.697,90.8779,77.2601,65.5845,55.6065,47.101,39.8654,33.7203,28.5081,24.0918,20.3529,17.1898,14.5152,12.2547,10.3448,8.73155,7.36924,6.21904,5.24805,4.42846,3.73672,20.1778
1901,4.46885,20.8524,96.7655,198.434,292.857,362.567,403.135,417.453,411.349,391.05,361.993,328.433,293.436,259.063,226.596,196.752,169.855,145.964,124.977,106.696,90.8773,77.2596,65.5841,55.6061,47.1007,39.8652,33.7201,28.5079,24.0916,20.3528,17.1898,14.5152,12.2546,10.3447,8.73151,7.36921,6.21901,5.24803,4.42844,3.73671,20.1777
