"Year","1-SPR","Interval","Exploitation Rate","Interval"
2013,"0.55","0.51–0.59","0.0715","0.0633–0.0796"
2014,"0.56","0.52–0.60","0.0758","0.0670–0.0847"
2015,"0.62","0.58–0.66","0.0927","0.0815–0.1039"
2016,"0.58","0.54–0.62","0.0821","0.0716–0.0926"
2017,"0.59","0.54–0.63","0.0852","0.0738–0.0966"
2018,"0.50","0.46–0.55","0.0662","0.0569–0.0755"
2019,"0.51","0.46–0.56","0.0704","0.0601–0.0807"
2020,"0.51","0.46–0.56","0.0715","0.0606–0.0824"
2021,"0.52","0.47–0.57","0.0730","0.0616–0.0845"
2022,"0.59","0.53–0.65","0.0898","0.0755–0.1041"
