"","Estimate","Interval"
"Unfished Spawning Output","1,445","1,363–1,527"
"Unfished Age 0+ Biomass (mt)","10,304","9,672–10,936"
"Unfished Recruitment (R0)","3,309","3,121–3,496"
"Spawning Output (2023)","617","483–752"
"Fraction Unfished (2023)","0.43","0.36–0.50"
"Reference Points Based SB40%","",""
"Proxy Spawning Output SB40%","578","545–611"
"SPR Resulting in SB40%","0.458","0.458–0.458"
"Exploitation Rate Resulting in SB40%","0.074","0.073–0.074"
"Yield with SPR Based On SB40% (mt)","431","404–457"
"Reference Points Based on SPR Proxy for MSY","",""
"Proxy Spawning Output (SPR50)","645","608–681"
"SPR50","0.500"," - "
"Exploitation Rate Corresponding to SPR50","0.065","0.065–0.066"
"Yield with SPR50 at SB SPR (mt)","407","382–431"
"Reference Points Based on Estimated MSY Values","",""
"Spawning Output at MSY (SB MSY)","342","323–362"
"SPR MSY","0.311","0.310–0.312"
"Exploitation Rate Corresponding to SPR MSY","0.111","0.111–0.112"
"MSY (mt)","477","449–506"
