"Year","Predicted OFL (mt)","ABC Catch (mt)","Age 0+ Biomass (mt)","Spawning Output","Fraction Unfished"
2023,"372.05","511.90","5,693.59","617.27","0.43"
2024,"353.84","511.90","5,583.11","584.86","0.40"
2025,"343.62","316.33","5,505.53","551.50","0.38"
2026,"354.15","324.45","5,631.88","552.31","0.38"
2027,"366.05","335.46","5,749.79","560.00","0.39"
2028,"376.87","346.33","5,849.97","572.15","0.40"
2029,"385.48","353.49","5,930.24","586.05","0.41"
2030,"391.80","357.71","5,994.58","599.87","0.42"
2031,"396.23","360.17","6,047.55","612.38","0.42"
2032,"399.40","361.06","6,092.92","623.01","0.43"
2033,"401.93","361.74","6,134.00","631.84","0.44"
2034,"404.20","362.16","6,172.26","639.19","0.44"
