"Quantity","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","442.144","479.453","594.517","524.531","541.429","415.068","437.551","435.565","435.538","526.003","NA"
"1-SPR","0.55","0.56","0.62","0.58","0.59","0.50","0.51","0.51","0.52","0.59","NA"
"Exploitation Rate","0.07","0.08","0.09","0.08","0.09","0.07","0.07","0.07","0.07","0.09","NA"
"Age 0+ Biomass (mt)","6,188","6,321","6,414","6,387","6,357","6,269","6,215","6,092","5,964","5,855","10,303"
"Spawning Output","558","561","574","576","587","593","614","631","642","642","617"
"Interval","466–651","467–656","477–671","476–677","482–692","483–703","499–730","510–752","515–768","511–773","483–752"
"Recruits","3,877","3,430","1,545","3,708","946","2,904","2,924","2,940","2,950","2,950","2,927"
"Interval","3,269–4,597","2,840–4,143","1,165–2,047","2,941–4,674","585–1,528","2,692–3,132","2,711–3,155","2,724–3,174","2,730–3,187","2,726–3,193","2,695–3,180"
"Fraction Unfished","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
"Interval","0.3–0.4","0.3–0.4","0.4–0.4","0.4–0.4","0.4–0.5","0.4–0.5","0.4–0.5","0.4–0.5","0.4–0.5","0.4–0.5","0.4–0.5"
