"Depth_bin","Season","Site","Treatment","Year","Effort Offset","Df","Log-Likelihood","AICc","Delta"
"Included","Included","Included","Included","Included","Included",19,-2887.1,5813.2,0
"Included",NA,"Included","Included","Included","Included",18,-2891,5818.7,5.6
NA,"Included","Included","Included","Included","Included",16,-2898.2,5829.1,15.9
NA,NA,"Included","Included","Included","Included",15,-2901.7,5833.9,20.7
"Included","Included",NA,"Included","Included","Included",16,-2912.4,5857.5,44.4
NA,"Included",NA,"Included","Included","Included",13,-2916.9,5860.1,47
"Included",NA,NA,"Included","Included","Included",15,-2916.6,5863.7,50.6
NA,NA,NA,"Included","Included","Included",12,-2920.5,5865.4,52.2
"Included","Included","Included",NA,"Included","Included",18,-2935.1,5906.9,93.8
"Included",NA,"Included",NA,"Included","Included",17,-2937,5908.7,95.5
"Included","Included",NA,NA,"Included","Included",15,-2948.2,5926.9,113.7
"Included",NA,NA,NA,"Included","Included",14,-2950.2,5929,115.8
NA,"Included","Included",NA,"Included","Included",15,-2951.3,5933.1,120
NA,NA,"Included",NA,"Included","Included",14,-2952.8,5934.1,121
NA,"Included",NA,NA,"Included","Included",12,-2957.8,5940,126.9
NA,NA,NA,NA,"Included","Included",11,-2959.5,5941.3,128.2
