Black RF Limit,Depth (binned),Month,People Count,Port,Year,Effort Offset,egrees of Freedom,Log-Likelihood,AICc,Delta AICc
Included,Included,Included,Included,Included,Included,Included,77,-138210,276574.5,0
Included,NA,Included,Included,Included,Included,Included,75,-138278.8,276708,133.5
Included,Included,NA,Included,Included,Included,Included,66,-138306.2,276744.7,170.2
Included,NA,NA,Included,Included,Included,Included,64,-138378,276884.4,309.9
NA,Included,Included,Included,Included,Included,Included,56,-138400.3,276912.8,338.3
Included,Included,Included,NA,Included,Included,Included,62,-138428.8,276981.9,407.4
NA,NA,Included,Included,Included,Included,Included,54,-138468.9,277046,471.5
Included,Included,NA,NA,Included,Included,Included,51,-138519,277140.2,565.7
Included,NA,Included,NA,Included,Included,Included,60,-138523.6,277167.5,593
NA,Included,NA,Included,Included,Included,Included,45,-138548.8,277187.8,613.3
NA,Included,Included,NA,Included,Included,Included,41,-138614.8,277311.7,737.2
NA,NA,NA,Included,Included,Included,Included,43,-138616.6,277319.3,744.8
Included,NA,NA,NA,Included,Included,Included,49,-138617.2,277332.5,758
NA,NA,Included,NA,Included,Included,Included,39,-138709.4,277496.9,922.4
NA,Included,NA,NA,Included,Included,Included,30,-138750.5,277561.2,986.7
Included,NA,Included,Included,NA,Included,Included,67,-138724.7,277583.8,1009.3
Included,Included,Included,Included,NA,Included,Included,69,-138723.7,277585.8,1011.3
NA,NA,NA,NA,Included,Included,Included,28,-138844.3,277744.7,1170.2
Included,NA,NA,Included,NA,Included,Included,56,-138878.3,277868.9,1294.4
Included,Included,NA,Included,NA,Included,Included,58,-138876.7,277869.7,1295.2
NA,NA,Included,Included,NA,Included,Included,46,-138905.2,277902.6,1328.1
NA,Included,Included,Included,NA,Included,Included,48,-138904.5,277905.2,1330.7
NA,Included,NA,Included,NA,Included,Included,37,-139148.5,278371.1,1796.6
NA,NA,NA,Included,NA,Included,Included,35,-139150.5,278371.2,1796.7
Included,NA,Included,NA,NA,Included,Included,52,-139145.8,278395.8,1821.3
Included,Included,Included,NA,NA,Included,Included,54,-139144.5,278397.3,1822.8
NA,NA,Included,NA,NA,Included,Included,31,-139317.8,278697.6,2123.1
NA,Included,Included,NA,NA,Included,Included,33,-139316.1,278698.2,2123.7
Included,NA,NA,NA,NA,Included,Included,41,-139311.1,278704.3,2129.8
Included,Included,NA,NA,NA,Included,Included,43,-139310.4,278707,2132.5
NA,NA,NA,NA,NA,Included,Included,20,-139582.5,279205,2630.5
NA,Included,NA,NA,NA,Included,Included,22,-139581.9,279207.9,2633.4
