"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1654.42,1368.13,1131.38,935.608,773.71,639.826,529.11,437.552,361.838,299.225,247.447,204.629,169.219,139.938,115.723,95.6979,79.1383,65.4441,54.1196,44.7547,37.0103,30.606,25.3099,20.9303,17.3085,14.3134,11.8366,9.78839,8.0946,6.6939,5.53558,4.5777,3.78557,3.13051,2.58881,2.14084,1.77038,1.46404,1.2107,1.0012,4.7847
1893,1654.41,1368.13,1131.38,935.596,773.691,639.809,529.093,437.533,361.819,299.208,247.432,204.616,169.21,139.93,115.716,95.6929,79.1342,65.4408,54.1169,44.7525,37.0085,30.6046,25.3087,20.9293,17.3077,14.3127,11.8361,9.78794,8.09423,6.6936,5.53533,4.57749,3.7854,3.13037,2.58869,2.14074,1.7703,1.46397,1.21064,1.00115,4.78449
1894,1654.4,1368.13,1131.39,935.596,773.681,639.794,529.078,437.519,361.803,299.192,247.417,204.604,169.199,139.921,115.71,95.6876,79.13,65.4375,54.1142,44.7503,37.0067,30.6031,25.3075,20.9283,17.3069,14.3121,11.8355,9.78749,8.09386,6.69329,5.53508,4.57728,3.78523,3.13023,2.58857,2.14064,1.77022,1.4639,1.21059,1.00111,4.78427
1895,1654.39,1368.12,1131.39,935.602,773.681,639.786,529.066,437.507,361.791,299.179,247.404,204.592,169.189,139.913,115.703,95.6822,79.1257,65.434,54.1114,44.7481,37.0049,30.6016,25.3063,20.9273,17.3061,14.3114,11.835,9.78704,8.09349,6.69299,5.53483,4.57708,3.78506,3.13009,2.58846,2.14055,1.77014,1.46384,1.21053,1.00106,4.78406
1896,1654.39,1368.11,1131.38,935.606,773.7,639.798,529.072,437.511,361.796,299.182,247.405,204.59,169.187,139.91,115.701,95.6804,79.1243,65.4329,54.1106,44.7474,37.0044,30.6012,25.306,20.9271,17.3059,14.3112,11.8348,9.78693,8.09339,6.69291,5.53477,4.57703,3.78501,3.13005,2.58843,2.14052,1.77013,1.46382,1.21052,1.00105,4.78401
1897,1654.39,1368.11,1131.37,935.604,773.707,639.817,529.086,437.52,361.802,299.189,247.41,204.593,169.187,139.91,115.7,95.6794,79.1235,65.4323,54.1101,44.7471,37.0041,30.601,25.3059,20.927,17.3058,14.3112,11.8348,9.78688,8.09336,6.69288,5.53474,4.57701,3.785,3.13004,2.58842,2.14052,1.77012,1.46382,1.21052,1.00105,4.78399
1898,1654.39,1368.11,1131.37,935.599,773.705,639.823,529.101,437.531,361.809,299.194,247.416,204.597,169.189,139.91,115.699,95.6786,79.1227,65.4316,54.1096,44.7467,37.0039,30.6008,25.3057,20.9268,17.3057,14.3111,11.8347,9.78684,8.09332,6.69285,5.53472,4.57699,3.78499,3.13003,2.58841,2.14051,1.77011,1.46381,1.21051,1.00104,4.78397
1899,1654.39,1368.11,1131.37,935.599,773.701,639.821,529.106,437.544,361.819,299.201,247.421,204.602,169.193,139.912,115.7,95.6783,79.1221,65.4311,54.1092,44.7464,37.0036,30.6006,25.3056,20.9267,17.3056,14.3111,11.8347,9.78681,8.0933,6.69284,5.53471,4.57698,3.78498,3.13002,2.5884,2.1405,1.77011,1.46381,1.21051,1.00104,4.78396
1900,1654.39,1368.11,1131.37,935.598,773.7,639.818,529.105,437.548,361.83,299.208,247.426,204.606,169.197,139.915,115.701,95.6785,79.1217,65.4305,54.1086,44.7459,37.0033,30.6004,25.3054,20.9266,17.3055,14.311,11.8346,9.78676,8.09326,6.69281,5.53468,4.57696,3.78496,3.13001,2.58839,2.14049,1.7701,1.4638,1.21051,1.00104,4.78395
1901,1654.39,1368.12,1131.37,935.599,773.7,639.817,529.102,437.546,361.833,299.217,247.432,204.61,169.2,139.918,115.704,95.6798,79.1219,65.4302,54.1081,44.7454,37.0029,30.6001,25.3052,20.9264,17.3054,14.3109,11.8345,9.78671,8.09322,6.69277,5.53466,4.57694,3.78494,3.13,2.58838,2.14049,1.7701,1.4638,1.2105,1.00103,4.78393
