"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25","Age26","Age27","Age28","Age29","Age30","Age31","Age32","Age33","Age34","Age35","Age36","Age37","Age38","Age39","Age40"
1892,1654.42,1395.76,1177.56,993.463,838.15,707.117,596.57,503.305,424.621,358.238,302.233,254.983,215.12,181.489,153.116,129.179,108.984,91.9456,77.5712,65.4441,55.2129,46.5812,39.2989,33.1551,27.9718,23.5988,19.9095,16.7969,14.171,11.9556,10.0865,8.50961,7.17926,6.05689,5.10999,4.31112,3.63714,3.06852,2.58881,2.18408,11.7864
1893,1654.41,1395.77,1177.56,993.448,838.129,707.098,596.551,503.285,424.6,358.218,302.215,254.968,215.107,181.478,153.107,129.171,108.977,91.9402,77.5667,65.4403,55.2097,46.5785,39.2967,33.1532,27.9702,23.5975,19.9084,16.796,14.1702,11.9549,10.0859,8.50914,7.17886,6.05655,5.1097,4.31087,3.63693,3.06835,2.58866,2.18396,11.7858
1894,1654.4,1395.77,1177.56,993.448,838.117,707.081,596.535,503.268,424.583,358.2,302.198,254.953,215.094,181.467,153.098,129.163,108.971,91.9347,77.5622,65.4365,55.2065,46.5758,39.2944,33.1513,27.9686,23.5961,19.9072,16.795,14.1694,11.9542,10.0854,8.50866,7.17846,6.05621,5.10941,4.31063,3.63673,3.06818,2.58852,2.18384,11.7851
1895,1654.39,1395.76,1177.56,993.455,838.117,707.071,596.52,503.255,424.569,358.186,302.183,254.939,215.081,181.456,153.088,129.155,108.964,91.9292,77.5576,65.4327,55.2033,46.5731,39.2921,33.1494,27.967,23.5948,19.9061,16.7941,14.1686,11.9535,10.0848,8.50818,7.17805,6.05587,5.10912,4.31039,3.63652,3.06801,2.58837,2.18372,11.7845
1896,1654.39,1395.75,1177.55,993.46,838.138,707.085,596.526,503.258,424.573,358.189,302.184,254.938,215.08,181.454,153.086,129.153,108.962,91.9278,77.5564,65.4317,55.2025,46.5725,39.2916,33.149,27.9666,23.5945,19.9058,16.7939,14.1684,11.9534,10.0846,8.50806,7.17795,6.05579,5.10906,4.31033,3.63647,3.06797,2.58834,2.18369,11.7843
1897,1654.39,1395.75,1177.55,993.458,838.146,707.106,596.541,503.266,424.579,358.196,302.19,254.941,215.081,181.454,153.086,129.153,108.962,91.9272,77.5559,65.4313,55.2022,46.5722,39.2914,33.1488,27.9665,23.5944,19.9057,16.7938,14.1683,11.9533,10.0846,8.50802,7.17792,6.05576,5.10903,4.31031,3.63646,3.06795,2.58832,2.18368,11.7842
1898,1654.39,1395.75,1177.55,993.453,838.144,707.113,596.559,503.279,424.587,358.201,302.196,254.946,215.084,181.455,153.086,129.152,108.961,91.9266,77.5554,65.4309,55.2018,46.5719,39.2911,33.1486,27.9663,23.5942,19.9056,16.7937,14.1683,11.9533,10.0846,8.50798,7.17789,6.05573,5.10901,4.31029,3.63644,3.06794,2.58831,2.18367,11.7842
1899,1654.39,1395.75,1177.55,993.453,838.141,707.112,596.565,503.295,424.598,358.208,302.201,254.951,215.088,181.458,153.087,129.153,108.961,91.9264,77.5551,65.4306,55.2016,46.5717,39.291,33.1485,27.9662,23.5942,19.9056,16.7936,14.1682,11.9532,10.0845,8.50796,7.17787,6.05572,5.109,4.31028,3.63643,3.06793,2.58831,2.18366,11.7842
1900,1654.39,1395.75,1177.55,993.452,838.14,707.108,596.564,503.3,424.61,358.217,302.206,254.955,215.092,181.462,153.089,129.154,108.961,91.9261,77.5547,65.4302,55.2012,46.5714,39.2907,33.1483,27.9661,23.594,19.9055,16.7936,14.1681,11.9532,10.0845,8.50792,7.17784,6.05569,5.10897,4.31026,3.63642,3.06792,2.58829,2.18365,11.7841
1901,1654.39,1395.75,1177.55,993.453,838.139,707.107,596.561,503.298,424.614,358.227,302.214,254.959,215.096,181.465,153.092,129.155,108.962,91.9262,77.5545,65.4299,55.2009,46.5711,39.2905,33.1481,27.9659,23.5939,19.9054,16.7935,14.1681,11.9531,10.0844,8.50788,7.1778,6.05566,5.10895,4.31024,3.6364,3.0679,2.58828,2.18364,11.7841
1902,1654.4,1395.75,1177.55,993.453,838.139,707.106,596.559,503.295,424.613,358.23,302.222,254.965,215.099,181.467,153.095,129.157,108.963,91.9266,77.5544,65.4295,55.2005,46.5707,39.2901,33.1478,27.9657,23.5937,19.9052,16.7933,14.168,11.953,10.0844,8.50782,7.17775,6.05562,5.10891,4.31021,3.63637,3.06788,2.58826,2.18363,11.784
1903,1654.4,1395.76,1177.55,993.454,838.139,707.106,596.558,503.294,424.61,358.228,302.224,254.972,215.104,181.47,153.096,129.16,108.965,91.9276,77.5547,65.4295,55.2002,46.5704,39.2898,33.1475,27.9654,23.5935,19.905,16.7932,14.1679,11.9529,10.0843,8.50776,7.1777,6.05557,5.10888,4.31018,3.63635,3.06786,2.58825,2.18361,11.7839
1904,1654.4,1395.76,1177.55,993.454,838.139,707.105,596.557,503.292,424.608,358.225,302.222,254.973,215.109,181.474,153.098,129.161,108.966,91.9289,77.5554,65.4296,55.2,46.5701,39.2895,33.1471,27.9651,23.5932,19.9048,16.793,14.1677,11.9528,10.0842,8.50767,7.17763,6.05552,5.10883,4.31014,3.63632,3.06783,2.58822,2.18359,11.7838
1905,1654.4,1395.76,1177.55,993.454,838.138,707.104,596.556,503.29,424.606,358.223,302.218,254.971,215.109,181.478,153.101,129.162,108.967,91.93,77.5563,65.43,55.2,46.5698,39.2891,33.1468,27.9648,23.5929,19.9046,16.7928,14.1675,11.9527,10.0841,8.50757,7.17754,6.05545,5.10877,4.31009,3.63627,3.0678,2.58819,2.18357,11.7837
1906,1654.4,1395.76,1177.55,993.455,838.138,707.104,596.555,503.289,424.604,358.221,302.216,254.968,215.107,181.478,153.104,129.164,108.968,91.9307,77.5572,65.4308,55.2004,46.5698,39.2888,33.1464,27.9644,23.5926,19.9043,16.7926,14.1673,11.9525,10.0839,8.50747,7.17746,6.05537,5.10871,4.31004,3.63623,3.06776,2.58816,2.18354,11.7835
1907,1654.4,1395.76,1177.55,993.455,838.138,707.103,596.554,503.288,424.602,358.219,302.214,254.966,215.104,181.476,153.104,129.167,108.97,91.9314,77.5576,65.4314,55.2009,46.57,39.2887,33.1462,27.9641,23.5923,19.904,16.7923,14.1671,11.9523,10.0838,8.50734,7.17735,6.05529,5.10864,4.30998,3.63618,3.06772,2.58813,2.18351,11.7834
1908,1654.4,1395.76,1177.55,993.455,838.138,707.103,596.554,503.287,424.601,358.217,302.212,254.964,215.102,181.473,153.103,129.167,108.972,91.9328,77.5582,65.4317,55.2014,46.5704,39.2889,33.1461,27.9639,23.592,19.9037,16.7921,14.1669,11.9521,10.0836,8.50721,7.17725,6.0552,5.10856,4.30992,3.63613,3.06768,2.58809,2.18348,11.7832
1909,1654.4,1395.76,1177.55,993.454,838.137,707.102,596.553,503.285,424.599,358.216,302.21,254.962,215.1,181.471,153.1,129.165,108.972,91.9344,77.5592,65.432,55.2016,46.5707,39.2892,33.1461,27.9637,23.5918,19.9034,16.7918,14.1667,11.9519,10.0834,8.50706,7.17712,6.05509,5.10848,4.30985,3.63607,3.06763,2.58805,2.18345,11.783
1910,1654.4,1395.76,1177.55,993.454,838.136,707.101,596.551,503.284,424.598,358.213,302.208,254.959,215.098,181.469,153.098,129.163,108.97,91.9339,77.5603,65.4327,55.2017,46.5708,39.2894,33.1463,27.9637,23.5916,19.9032,16.7915,14.1664,11.9517,10.0832,8.50689,7.17698,6.05498,5.10838,4.30977,3.636,3.06757,2.588,2.18341,11.7828
1911,1654.39,1395.76,1177.55,993.453,838.135,707.1,596.55,503.283,424.596,358.212,302.206,254.957,215.096,181.467,153.096,129.161,108.968,91.9324,77.56,65.4337,55.2023,46.5709,39.2894,33.1465,27.9639,23.5916,19.903,16.7913,14.1662,11.9515,10.083,8.50672,7.17684,6.05486,5.10828,4.30968,3.63593,3.06751,2.58795,2.18337,11.7826
1912,1654.39,1395.75,1177.55,993.452,838.134,707.098,596.548,503.281,424.594,358.21,302.204,254.955,215.094,181.465,153.094,129.159,108.966,91.9305,77.5585,65.4332,55.203,46.5713,39.2894,33.1464,27.9639,23.5916,19.903,16.7911,14.1659,11.9512,10.0828,8.50654,7.17668,6.05472,5.10817,4.30959,3.63585,3.06745,2.5879,2.18332,11.7824
1913,1654.39,1395.75,1177.55,993.451,838.133,707.097,596.546,503.278,424.592,358.207,302.202,254.953,215.092,181.463,153.092,129.157,108.964,91.9287,77.5567,65.4318,55.2025,46.5717,39.2896,33.1463,27.9638,23.5916,19.903,16.7911,14.1658,11.951,10.0826,8.50634,7.1765,6.05457,5.10804,4.30948,3.63577,3.06737,2.58784,2.18327,11.7821
1914,1654.39,1395.75,1177.55,993.45,838.132,707.095,596.545,503.277,424.59,358.205,302.2,254.951,215.09,181.461,153.09,129.155,108.963,91.9272,77.5552,65.4303,55.2013,46.5713,39.29,33.1465,27.9638,23.5916,19.903,16.7911,14.1657,11.9509,10.0824,8.50616,7.17634,6.05443,5.10792,4.30938,3.63568,3.0673,2.58778,2.18322,11.7818
1915,1654.39,1395.75,1177.55,993.449,838.13,707.094,596.543,503.275,424.588,358.203,302.197,254.949,215.087,181.459,153.088,129.153,108.961,91.9255,77.5537,65.429,55.1999,46.5702,39.2896,33.1468,27.9639,23.5914,19.9029,16.791,14.1657,11.9508,10.0823,8.50599,7.17617,6.05427,5.10778,4.30926,3.63558,3.06722,2.58771,2.18316,11.7815
1916,1654.39,1395.75,1177.55,993.448,838.129,707.093,596.542,503.273,424.586,358.201,302.195,254.947,215.085,181.457,153.086,129.152,108.959,91.924,77.5523,65.4277,55.1987,46.569,39.2887,33.1464,27.9641,23.5915,19.9028,16.7909,14.1657,11.9508,10.0822,8.50588,7.17603,6.05413,5.10765,4.30915,3.63548,3.06714,2.58764,2.1831,11.7812
